Statistics,SE:A13005H. Poverty Status in the Past 12 Months by Sex (Hispanic or Latino),Total,Income in the Past 12 Months Below Poverty Level,Male,Female,Income in the Past 12 Months At or Above Poverty Level,Male,Female,"SE:A13005I. Poverty Status in the Past 12 Months by Sex (White Alone, Not Hispanic or Latino)",Total,Income in the Past 12 Months Below Poverty Level,Male,Female,Income in the Past 12 Months At or Above Poverty Level,Male,Female,SE:A13005G. Poverty Status in the Past 12 Months by Sex (Two or More Races),Total,Income in the Past 12 Months Below Poverty Level,Male,Female,Income in the Past 12 Months At or Above Poverty Level,Male,Female,SE:A13005F. Poverty Status in the Past 12 Months by Sex (Some Other Race Alone),Total,Income in the Past 12 Months Below Poverty Level,Male,Female,Income in the Past 12 Months At or Above Poverty Level,Male,Female,SE:A13005E. Poverty Status in the Past 12 Months by Sex (Native Hawaiian and Other Pacific Islander Alone),Total,Income in the Past 12 Months Below Poverty Level,Male,Female,Income in the Past 12 Months At or Above Poverty Level,Male,Female,SE:A13005D. Poverty Status in the Past 12 Months by Sex (Asian Alone),Total,Income in the Past 12 Months Below Poverty Level,Male,Female,Income in the Past 12 Months At or Above Poverty Level,Male,Female,SE:A13005C. Poverty Status in the Past 12 Months by Sex (American Indian and Alaska Native Alone),Total,Income in the Past 12 Months Below Poverty Level,Male,Female,Income in the Past 12 Months At or Above Poverty Level,Male,Female,SE:A13005B. Poverty Status in the Past 12 Months by Sex (Black or African American Alone),Total,Income in the Past 12 Months Below Poverty Level,Male,Female,Income in the Past 12 Months At or Above Poverty Level,Male,Female,SE:A13005A. Poverty Status in the Past 12 Months by Sex (White Alone),Total,Income in the Past 12 Months Below Poverty Level,Male,Female,Income in the Past 12 Months At or Above Poverty Level,Male,Female,SE:A12001. Educational Attainment for Population 25 Years and Over,Population 25 Years and Over:,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,SE:A12001A. Educational Attainment for Male Population 25 Years and Over,Male Population 25 Years and Over:,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,SE:A12001B. Educational Attainment for Female Population 25 Years and Over,Female Population 25 Years and Over:,Less than High School,High School Graduate (Includes Equivalency),Some College,Bachelor's Degree,Master's Degree,Professional School Degree,Doctorate Degree,SE:A17008. Occupation for Employed Civilian Population 16 Years and Over,Employed Civilian Population 16 Years and Over:,"Management, Professional, and Related Occupations",Service Occupations,Sales and Office Occupations:,"Farming, Fishing, and Forestry Occupations","Construction, Extraction, and Maintenance  Occupations","Production, Transportation, and Material Moving  Occupations:",Production Occupations,Transportation and Material Moving Occupations,SE:A14001. Household Income (In 2021 Inflation Adjusted Dollars),Households:,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or More",SE:A02002. Sex by Age,Total Population:,Male:,Under 5 Years,5 to 9 Years,10 to 14 Years,15 to 17 Years,18 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years and Over,Female:,Under 5 Years,5 to 9 Years,10 to 14 Years,15 to 17 Years,18 to 24 Years,25 to 34 Years,35 to 44 Years,45 to 54 Years,55 to 64 Years,65 to 74 Years,75 to 84 Years,85 Years and Over,SE:A13005. Poverty Status in the Past 12 Months by Sex,Total,Income in the Past 12 Months Below Poverty Level,Male,Female,Income in the Past 12 Months At or Above Poverty Level,Male,Female,SE:A03001. Race,Total Population:,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Some Other Race Alone,Two or More Races,SE:A17005A. Unemployment Rate for Civilian Male Population,Civilian Male in Labor Force 16 Years and Over:,Employed,Unemployed,SE:A17005B. Unemployment Rate for Civilian Female Population,Civilian Female in Labor Force 16 Years and Over:,Employed,Unemployed
Alabama,,218981,60845,29013,31832,158136,86850,71286,,3177457,352725,151220,201505,2824732,1408895,1415837,,150436,29731,12458,17273,120705,62833,57872,,84616,27633,14008,13625,56983,31041,25942,,1633,327,136,191,1306,438,868,,68725,9427,4757,4670,59298,26802,32496,,20992,3925,1781,2144,17067,8967,8100,,1278524,322792,134265,188527,955732,454092,501640,,3271937,375984,162319,213665,2895953,1446915,1449038,,3413803,430047,1041209,1032122,563628,251040,54076,41681,,1624678,226461,519061,461869,260597,101009,31006,24675,,1789125,203586,522148,570253,303031,150031,23070,17006,,2173597,785092,348756,457988,9623,198293,373845,187874,185971,,1902983,140205,103832,99829,95400,97039,93504,86566,87842,72296,146226,182306,230067,158503,104753,106617,97998,,4997675,2429703,151356,155081,167636,99974,230978,319149,299339,309965,324086,238075,106537,27527,2567972,144276,146733,162158,95167,230513,328098,315771,323966,349002,273827,142272,56189,,4876863,769819,329724,440095,4107044,2031088,2075956,,4997675,3338590,1324233,21661,70161,1702,86013,155315,,1199688,1135882,63806,,1098325,1037715,60610
Alaska,,52128,5218,2620,2598,46910,24245,22665,,425718,30572,14590,15982,395146,210658,184488,,72354,7732,4129,3603,64622,33271,31351,,13932,1438,762,676,12494,6447,6047,,10601,1780,825,955,8821,4692,4129,,46759,4463,1773,2690,42296,19703,22593,,104207,24621,12373,12248,79586,39429,40157,,22074,2504,1139,1365,19570,10586,8984,,449159,32478,15323,17155,416681,221947,194734,,484382,32669,137873,165649,92691,39503,9969,6028,,251964,18112,79487,86851,41871,17100,4989,3554,,232418,14557,58386,78798,50820,22403,4980,2474,,338664,130394,60695,68137,3615,34762,41061,13244,27817,,260561,10644,7170,8743,7393,7893,8306,8902,9131,7492,18272,27653,35821,28393,21629,26172,26947,,735951,384749,25965,27379,25485,14977,38979,61562,50350,46441,48584,31844,10382,2801,351202,24826,25891,24162,14049,29856,54963,46314,41278,44702,29621,11713,3827,,719086,75016,36324,38692,644070,336075,307995,,735951,458520,23721,107531,47213,10766,14254,73946,,194806,180009,14797,,168912,158655,10257
Arizona,,2209451,402027,182452,219575,1807424,920502,886922,,3710549,341689,157489,184200,3368860,1679146,1689714,,724106,109252,52667,56585,614854,311313,303541,,471326,89682,39400,50282,381644,193569,188075,,13233,1784,1066,718,11449,5985,5464,,230638,25106,11883,13223,205532,95814,109718,,291321,90957,42321,48636,200364,97809,102555,,302854,56760,26951,29809,246094,126517,119577,,4892803,561370,256389,304981,4331433,2169716,2161717,,4792007,560460,1125498,1610633,923339,413353,92301,66423,,2362154,292497,568896,767868,451206,189461,55024,37202,,2429853,267963,556602,842765,472133,223892,37277,29221,,3210791,1240175,578248,753182,17123,272034,350029,123389,226640,,2683557,148295,90482,98251,108769,113209,114812,112797,118946,106350,213802,274373,361450,259428,176969,186606,199018,,7079203,3533895,210607,224911,244849,144036,347338,499568,450250,419876,415522,344077,179121,53740,3545308,201999,215310,235194,137529,325423,467102,432664,419087,444079,387296,200147,79478,,6926281,934911,430677,504234,5991370,3000723,2990647,,7079203,4985729,318827,300862,234495,13979,490290,735021,,1820681,1720517,100164,,1581225,1490274,90951
Arkansas,,232000,50586,24512,26074,181414,96071,85343,,2070826,262648,116391,146257,1808178,903534,904644,,154986,28349,13094,15255,126637,65553,61084,,86190,20887,9915,10972,65303,34976,30327,,10469,2979,1541,1438,7490,4016,3474,,45625,4948,1876,3072,40677,19462,21215,,16763,3446,1432,2014,13317,6531,6786,,437329,123530,52345,71185,313799,151751,162048,,2172373,283974,126497,157477,1888399,945676,942723,,2021290,248721,688732,592568,313527,129009,29370,19363,,978067,130991,358982,263407,144566,51818,17533,10770,,1043223,117730,329750,329161,168961,77191,11837,8593,,1310863,461398,216766,273618,12751,120433,225897,111720,114177,,1158460,79251,62650,63227,65520,64788,62300,57156,57346,46509,94126,115224,137297,91658,54051,54652,52705,,3006309,1483520,95410,99723,105077,62435,142808,194336,187731,181193,188082,141091,66298,19336,1522789,89170,95925,98171,59874,136426,194163,188700,183520,198204,159216,83939,35481,,2923735,468113,206700,261413,2455622,1227965,1227657,,3006309,2227020,458086,17459,46388,10627,87626,159103,,723329,683007,40322,,661267,627856,33411
California,,15319764,2380287,1067512,1312775,12939477,6619241,6320236,,13852656,1203484,551313,652171,12649172,6398051,6251121,,4162685,498343,227843,270500,3664342,1870462,1793880,,5928297,979737,437245,542492,4948560,2557452,2391108,,144991,19171,8842,10329,125820,62240,63580,,5803486,571805,257769,314036,5231681,2511206,2720475,,350401,58660,27186,31474,291741,149399,142342,,2129989,409835,188693,221142,1720154,847535,872619,,20181503,2203624,998971,1204653,17977879,9088661,8889218,,26797070,4236035,5477154,7632443,5855383,2449563,678258,468234,,13229666,2137364,2825211,3670091,2816104,1148481,357140,275275,,13567404,2098671,2651943,3962352,3039279,1301082,321118,192959,,18676721,7675562,3311184,3812112,266145,1388387,2223331,863584,1359747,,13217586,608329,471825,395789,428857,437182,445481,418839,436011,384284,817962,1129455,1621793,1309828,1000924,1314071,1996956,,39455353,19714044,1203859,1245934,1362100,792617,1879868,3056135,2720662,2537185,2366158,1581047,696336,272143,19741309,1146476,1188179,1296261,757006,1785983,2885487,2620387,2506218,2434959,1782400,885135,452818,,38701352,4741175,2146549,2594626,33960177,17086955,16873222,,39455353,20553732,2233258,360607,5887396,148278,6036865,4235217,,10794465,10104245,690220,,9185997,8572476,613521
Colorado,,1227327,175884,78949,96935,1051443,543123,508320,,3751740,281072,130695,150377,3470668,1756149,1714519,,469124,60883,27576,33307,408241,209681,198560,,255857,37784,16335,21449,218073,115479,102594,,7918,703,369,334,7215,3544,3671,,179760,16826,7808,9018,162934,73937,88997,,49945,8752,3831,4921,41193,20885,20308,,222804,37363,17762,19601,185441,97974,87467,,4420014,373665,172714,200951,4046349,2051738,1994611,,3937040,300620,810976,1139275,1051023,465071,97490,72585,,1975516,160291,430183,559043,515459,214957,54446,41137,,1961524,140329,380793,580232,535564,250114,43044,31448,,2975830,1331694,470806,609367,15770,249689,298504,108736,189768,,2227932,97533,63216,63167,68773,71733,74801,76062,82663,72048,158600,216060,298937,239941,178942,217388,248068,,5723176,2895936,165967,176827,191554,112904,273168,464018,417273,364491,350470,249580,95642,34042,2827240,158279,170826,178712,107666,250233,425915,387976,347705,359938,268788,116980,54222,,5605422,535976,246395,289581,5069446,2573238,2496208,,5723176,4507448,234065,53143,183391,8192,258867,478070,,1679615,1600877,78738,,1441253,1374953,66300
Connecticut,,595978,127775,55007,72768,468203,240012,228191,,2276519,139246,59983,79263,2137273,1057610,1079663,,222592,30005,13499,16506,192587,100492,92095,,209323,51731,21836,29895,157592,80204,77388,,1262,344,160,184,918,445,473,,163100,14134,6759,7375,148966,72217,76749,,8330,1726,827,899,6604,3506,3098,,372377,64472,29899,34573,307905,146598,161307,,2526710,189064,80957,108107,2337646,1158464,1179182,,2515137,225021,656949,613201,561567,334219,79160,45020,,1211183,118042,333289,281631,267899,142283,42636,25403,,1303954,106979,323660,331570,293668,191936,36524,19617,,1822995,821971,310205,369209,2983,129279,189348,85241,104107,,1397324,66533,47010,44306,45965,46327,46447,43458,46987,41902,88807,119766,169273,138944,107526,140910,203163,,3605330,1768860,93734,99242,115470,72468,176763,226394,217332,238821,254733,167862,75126,30915,1836470,88388,97298,108901,68990,168939,219467,221766,249462,266983,189547,98023,58706,,3503694,351476,153937,197539,3152218,1561926,1590292,,3605330,2595884,389290,8714,167308,1262,215605,227267,,1004737,939729,65008,,935889,883266,52623
Delaware,,93112,16911,7797,9114,76201,39656,36545,,583628,45982,19579,26403,537646,263895,273751,,48621,8515,3722,4793,40106,19532,20574,,27685,6360,3264,3096,21325,11904,9421,,378,66,46,20,312,146,166,,39215,4119,1588,2531,35096,17823,17273,,3011,513,145,368,2498,1400,1098,,205914,36550,15790,20760,169364,80088,89276,,630778,53151,22756,30395,577627,284827,292800,,690618,61788,209928,186528,134252,71962,12917,13243,,329528,34241,105652,83640,62036,29305,6808,7846,,361090,27547,104276,102888,72216,42657,6109,5397,,464457,191707,79853,98223,2272,38322,54080,19275,34805,,381097,18656,12429,11719,13477,14259,15920,15185,13588,14627,27844,38161,53499,37888,28828,32528,32489,,981892,477219,27567,28646,30950,18348,42180,63809,57016,58629,66068,52912,23913,7181,504673,26667,27835,29842,17790,41449,64069,58757,62606,73289,61044,29795,11530,,955602,109274,47311,61963,846328,415720,430608,,981892,645409,215745,3064,39684,383,28095,49512,,250704,236135,14569,,241746,228322,13424
District of Columbia,,73323,8495,3445,5050,64828,34142,30686,,236487,12250,5491,6759,224237,113262,110975,,37153,4511,2262,2249,32642,16159,16483,,31667,4968,1735,3233,26699,14549,12150,,332,18,10,8,314,141,173,,25504,3446,1415,2031,22058,9280,12778,,1855,585,277,308,1270,487,783,,294532,72900,30723,42177,221632,102076,119556,,260575,14190,6400,7790,246385,124832,121553,,487726,37934,75562,74761,124285,106838,47536,20810,,230462,18537,35786,33272,59978,47766,24254,10869,,257264,19397,39776,41489,64307,59072,23282,9941,,373967,252766,48514,50903,117,8736,12931,2110,10821,,310104,25716,11103,8879,6961,7527,9439,6552,7780,6882,15817,22151,35005,27053,22223,31658,65358,,683154,325490,21890,17335,16300,7748,31755,72944,52731,37237,33032,21419,9351,3748,357664,21068,17734,15149,7798,38651,82770,54067,36364,35382,27553,14617,6511,,651618,100618,42822,57796,551000,267524,283476,,683154,276373,305109,1984,27988,359,32484,38857,,193673,179949,13724,,208787,194018,14769
Florida,,5524398,880620,392894,487726,4643778,2337998,2305780,,11008455,1061435,478235,583200,9947020,4937387,5009633,,1974343,269370,120181,149189,1704973,843571,861402,,854705,160717,75959,84758,693988,354605,339383,,12788,2117,1036,1081,10671,4935,5736,,590257,66474,31238,35236,523783,242883,280900,,52729,9598,5174,4424,43131,23007,20124,,3242151,664615,295306,369309,2577536,1241889,1335647,,14201246,1571721,701497,870224,12629525,6285116,6344409,,15349290,1682505,4282929,4543900,3038293,1253271,356975,191417,,7429500,872152,2128716,2103420,1441631,567092,208612,107877,,7919790,810353,2154213,2440480,1596662,686179,148363,83540,,9824911,3666586,1868366,2342482,47119,864323,1036035,319389,716646,,8157420,479790,320587,333843,364709,378114,383879,359398,371848,329602,657396,825031,1045393,728826,470060,513107,595837,,21339762,10489548,571443,583755,644169,379009,881672,1390105,1315368,1355700,1391425,1137797,621507,217598,10850214,547351,564146,608112,363328,847487,1352337,1311562,1379530,1506298,1304876,737603,327584,,20928219,2744612,1230391,1514221,18183607,8996006,9187601,,21339762,14449017,3358469,54466,596862,13065,866158,2001725,,5435739,5147411,288328,,4941297,4677500,263797
