Birth Rate,Business Tax Rate,CO2 Emissions,PopXbirth rate,Country,Days to Start Business,Ease of Business,Energy Usage,gdp,Health Exp % GDP,Health Exp/Capita,Hours to do Tax (bin),Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage (bin),Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
5.00%,,781,1029768,Afghanistan,,,,,,,,,9.50%,,,56,54,,,1,49.50%,48.50%,2.00%,20595360,21.30%,Asia,,,2000
4.90%,,645,1046041.318,Afghanistan,,,,2461666315,,,,,9.30%,0,,56,54,,,1,49.50%,48.40%,2.00%,21347782,21.60%,Asia,,,2001
4.80%,,359,1065734.688,Afghanistan,,,,4128818043,8.90%,$14 ,,,9.10%,0,,57,55,0,0,1,49.50%,48.50%,2.00%,22202806,21.90%,Asia,,,2002
4.70%,,583,1086458.674,Afghanistan,,,,4583648922,10.00%,$18 ,,,8.80%,0,,57,55,0,0,1,49.40%,48.50%,2.00%,23116142,22.20%,Asia,,,2003
4.60%,,733,1104859.372,Afghanistan,9,,,5285461999,9.80%,$19 ,,,8.60%,0,,58,55,0,0,1,49.40%,48.60%,2.00%,24018682,22.60%,Asia,,,2004
4.50%,36.30%,1016,1118738.475,Afghanistan,9,,,6275076016,9.20%,$21 ,226,275,8.40%,0,,58,56,0,0,1,49.30%,48.70%,2.00%,24860855,22.90%,Asia,,,2005
4.40%,36.30%,1338,1127776.408,Afghanistan,9,,,7057597615,9.10%,$23 ,226,275,8.20%,0,18.00%,59,56,0.1,0.1,1,49.30%,48.70%,2.00%,25631282,23.20%,Asia,,,2006
4.20%,36.30%,1991,1106668.206,Afghanistan,9,,,9843851009,10.00%,$30 ,226,275,8.00%,0,18.10%,59,57,0.2,0.2,1,49.20%,48.70%,2.10%,26349243,23.60%,Asia,,,2007
4.10%,36.30%,3927,1108320.077,Afghanistan,9,,,10190534636,9.70%,$35 ,226,275,7.90%,0,14.90%,60,57,0.3,0.3,1,49.20%,48.70%,2.10%,27032197,23.90%,Asia,"$43,000,000 ","$58,000,000 ",2008
3.90%,36.30%,6524,1080619.293,Afghanistan,7,,,12486950469,8.70%,$35 ,226,275,7.70%,0,15.00%,60,58,0.3,0.4,1,49.00%,48.90%,2.10%,27708187,24.30%,Asia,"$96,000,000 ","$61,000,000 ",2009
