Statistics,Total Population By Sex,Male Pop,M_Under 5 Years,M_5 to 9 Years,M_10 to 14 Years,M_15 to 17 Years,M_18 to 24 Years,M_25 to 34 Years,M_35 to 44 Years,M_45 to 54 Years,M_55 to 64 Years,M_65 to 74 Years,M_75 to 84 Years,M_85 Years and Over,Female Pop,F_Under 5 Years,F_5 to 9 Years,F_10 to 14 Years,F_15 to 17 Years,F_18 to 24 Years,F_25 to 34 Years,F_35 to 44 Years,F_45 to 54 Years,F_55 to 64 Years,F_65 to 74 Years,F_75 to 84 Years,F_85 Years and Over,SE:A12001. Educational Attainment for Population 25 Years and Over,TotalEA_Population 25 Years and Over,TotalEA_Less than High School,TotalEA_High School Graduate ,TotalEA_Some College,TotalEA_Bachelors Degree,TotalEA_Masters Degree,TotalEA_Professional School Degree,TotalEA_Doctorate Degree,SE:A12001A. Educational Attainment for Male Population 25 Years and Over,MaleEA_Pop 25 Years and Over,MaleEA_Less than High School,MaleEA_High School Graduate ,MaleEA_Some College,MaleEA_Bachelors Degree,MaleEA_Masters Degree,MaleEA_Professional School Degree,MaleEA_Doctorate Degree,SE:A12001B. Educational Attainment for Female Population 25 Years and Over,FemEA_Pop 25 Years and Over,FemEA_Less than High School,FemEA_High School Graduate ,FemEA_Some College,FemEA_Bachelors Degree,FemEA_Masters Degree,FemEA_Professional School Degree,FemEA_Doctorate Degree,SE:A12003A. School Dropout Rate for Male Population 16 to 19 Years,MaleSDR Civilian Population 16 to 19 Years,MaleSDR_Not High School Graduate_Not Enrolled,MaleSDR_High School Graduate_Enrolled ,SE:A12003B. School Dropout Rate for Female Population 16 to 19 Years,FemaleSDR Civilian Population 16 to 19 Years,FemSDR_Not High School Graduate_Not Enrolled,FemSDR_High School Graduate_Enrolled ,SE:A17002A. Employment Status for Male Population 16 Years and Over,MaleES Population 16 Years and Over,MaleES_In Labor Force,MaleES_In Armed Forces,MaleES_Civilian,MaleES_Employed,MaleES_Unemployed,MaleES_Not in Labor Force,SE:A17002B. Employment Status for Female Population 16 Years and Over,FemES Population 16 Years and Over,FemES_In Labor Force,FemES_In Armed Forces,FemES_Civilian,FemES_Employed,FemES_Unemployed,FemES_Not in Labor Force,SE:A17003A. Employment Sector for Male Employed Civilian Population 16 Years and Over,MaleEmpSec Employed Civilian Population 16 Years and Over,MaleEmpSec_Private Sector,MaleEmpSec_Public Sector,MaleEmpSec_Self-Employed,MaleEmpSec_Private Non-Profit,MaleEmpSec_Unpaid Family Workers,SE:A17003B. Employment Sector for Female Employed Civilian Population 16 Years and Over,FemEmpSec Employed Civilian Population 16 Years and Over,FemEmpSec_Private Sector,FemEmpSec_Public Sector,FemEmpSec_Self-Employed,FemEmpSec_Private Non-Profit,FemEmpSec_Unpaid Family Workers,SE:A17005A. Unemployment Rate for Civilian Male Population,MaleUR Civilian Male in Labor Force 16 Years and Over,MaleUR_Employed,MaleUR_Unemployed,SE:A17005B. Unemployment Rate for Civilian Female Population,FemUR Civilian Female in Labor Force 16 Years and Over,FemUR_Employed,FemUR_Unemployed,SE:A13005. Poverty Status in the Past 12 Months by Sex,PS Total,Income in the Past 12 Months Below Poverty Level,Male_IncPast12BPL,Female_IncPast12BPL,Income in the Past 12 Months At or Above Poverty Level,Male_IncPast12AAPL,Female_IncPast12AAPL,SE:A15001. Median Earnings by Sex by Educational Attainment_2021 Inflation Adjusted Dollars_Pop Age 25 Up,Total Median Earnings,Less than High School Graduate,High School Graduate,Some College or Associates Degree,Bachelors Degree,Graduate or Professional Degree,Male Median Earnings,MaleME_Less than High School Graduate,MaleME_High School Graduate ,MaleME_Some College or Associates Degree,MaleME_Bachelor's Degree,MaleME_Graduate or Professional Degree,Female Median Earnings,FemME_Less than High School Graduate,FemME_High School Graduate ,FemME_Some College or Associates Degree,FemME_Bachelors Degree,FemME_Graduate or Professional Degree
Alabama,4997675,2429703,151356,155081,167636,99974,230978,319149,299339,309965,324086,238075,106537,27527,2567972,144276,146733,162158,95167,230513,328098,315771,323966,349002,273827,142272,56189,,3413803,430047,1041209,1032122,563628,251040,54076,41681,,1624678,226461,519061,461869,260597,101009,31006,24675,,1789125,203586,522148,570253,303031,150031,23070,17006,,133419,6581,126838,,131377,4616,126761,,1921714,1213346,13658,1199688,1135882,63806,708368,,2083785,1100270,1945,1098325,1037715,60610,983515,,1135882,812182,149692,124615,47676,1717,,1037715,677980,191903,69033,97476,1323,,1199688,1135882,63806,,1098325,1037715,60610,,4876863,769819,329724,440095,4107044,2031088,2075956,,"$39,624 ","$25,163 ","$31,825 ","$36,556 ","$53,063 ","$65,092 ","$48,006 ","$30,253 ","$39,088 ","$46,840 ","$68,665 ","$88,888 ","$32,184 ","$18,442 ","$24,748 ","$30,202 ","$43,022 ","$56,220 "
Alaska,735951,384749,25965,27379,25485,14977,38979,61562,50350,46441,48584,31844,10382,2801,351202,24826,25891,24162,14049,29856,54963,46314,41278,44702,29621,11713,3827,,484382,32669,137873,165649,92691,39503,9969,6028,,251964,18112,79487,86851,41871,17100,4989,3554,,232418,14557,58386,78798,50820,22403,4980,2474,,19839,981,18858,,17164,549,16615,,300904,212319,17513,194806,180009,14797,88585,,271261,171476,2564,168912,158655,10257,99785,,180009,104114,43216,19595,12640,444,,158655,78668,44306,14211,21110,360,,194806,180009,14797,,168912,158655,10257,,719086,75016,36324,38692,644070,336075,307995,,"$50,584 ","$26,928 ","$38,556 ","$48,082 ","$61,748 ","$81,581 ","$57,741 ","$29,659 ","$44,214 ","$57,832 ","$74,516 ","$93,166 ","$41,868 ","$22,241 ","$30,457 ","$38,789 ","$51,955 ","$75,380 "
Arizona,7079203,3533895,210607,224911,244849,144036,347338,499568,450250,419876,415522,344077,179121,53740,3545308,201999,215310,235194,137529,325423,467102,432664,419087,444079,387296,200147,79478,,4792007,560460,1125498,1610633,923339,413353,92301,66423,,2362154,292497,568896,767868,451206,189461,55024,37202,,2429853,267963,556602,842765,472133,223892,37277,29221,,194349,13113,181236,,186412,8314,178098,,2804618,1839639,18958,1820681,1720517,100164,964979,,2846006,1584554,3329,1581225,1490274,90951,1261452,,1720517,1238702,205335,193809,79205,3466,,1490274,977935,240654,125541,143260,2884,,1820681,1720517,100164,,1581225,1490274,90951,,6926281,934911,430677,504234,5991370,3000723,2990647,,"$42,355 ","$27,094 ","$33,220 ","$40,123 ","$56,276 ","$72,937 ","$48,036 ","$30,648 ","$38,079 ","$46,645 ","$69,953 ","$89,640 ","$37,103 ","$22,007 ","$28,125 ","$34,350 ","$47,780 ","$61,338 "
Arkansas,3006309,1483520,95410,99723,105077,62435,142808,194336,187731,181193,188082,141091,66298,19336,1522789,89170,95925,98171,59874,136426,194163,188700,183520,198204,159216,83939,35481,,2021290,248721,688732,592568,313527,129009,29370,19363,,978067,130991,358982,263407,144566,51818,17533,10770,,1043223,117730,329750,329161,168961,77191,11837,8593,,83600,4042,79558,,79352,2995,76357,,1162716,728160,4831,723329,683007,40322,434556,,1219539,662213,946,661267,627856,33411,557326,,683007,482441,81200,83689,34150,1527,,627856,398016,117142,46994,64503,1201,,723329,683007,40322,,661267,627856,33411,,2923735,468113,206700,261413,2455622,1227965,1227657,,"$37,772 ","$26,405 ","$31,426 ","$35,054 ","$50,737 ","$65,593 ","$43,273 ","$30,526 ","$36,728 ","$43,019 ","$63,813 ","$80,046 ","$32,118 ","$21,451 ","$25,465 ","$30,071 ","$43,208 ","$57,324 "
California,39455353,19714044,1203859,1245934,1362100,792617,1879868,3056135,2720662,2537185,2366158,1581047,696336,272143,19741309,1146476,1188179,1296261,757006,1785983,2885487,2620387,2506218,2434959,1782400,885135,452818,,26797070,4236035,5477154,7632443,5855383,2449563,678258,468234,,13229666,2137364,2825211,3670091,2816104,1148481,357140,275275,,13567404,2098671,2651943,3962352,3039279,1301082,321118,192959,,1062842,32659,1030183,,1012943,20664,992279,,15642410,10922019,127554,10794465,10104245,690220,4720391,,15857294,9207143,21146,9185997,8572476,613521,6650151,,10104245,7157998,1139944,1307668,479777,18858,,8572476,5407243,1499073,828986,818886,18288,,10794465,10104245,690220,,9185997,8572476,613521,,38701352,4741175,2146549,2594626,33960177,17086955,16873222,,"$47,118 ","$26,928 ","$34,965 ","$42,817 ","$68,515 ","$97,115 ","$53,609 ","$31,441 ","$40,646 ","$51,289 ","$81,227 ","$114,783 ","$40,591 ","$20,585 ","$28,843 ","$36,134 ","$58,189 ","$82,881 "
Colorado,5723176,2895936,165967,176827,191554,112904,273168,464018,417273,364491,350470,249580,95642,34042,2827240,158279,170826,178712,107666,250233,425915,387976,347705,359938,268788,116980,54222,,3937040,300620,810976,1139275,1051023,465071,97490,72585,,1975516,160291,430183,559043,515459,214957,54446,41137,,1961524,140329,380793,580232,535564,250114,43044,31448,,152953,6816,146137,,142419,4437,137982,,2323120,1711376,31761,1679615,1600877,78738,611744,,2283279,1446284,5031,1441253,1374953,66300,836995,,1600877,1122797,187326,206392,80742,3620,,1374953,856447,223551,136075,155290,3590,,1679615,1600877,78738,,1441253,1374953,66300,,5605422,535976,246395,289581,5069446,2573238,2496208,,"$49,696 ","$31,706 ","$37,928 ","$42,408 ","$60,941 ","$76,458 ","$56,981 ","$37,762 ","$43,053 ","$51,214 ","$74,310 ","$96,383 ","$41,506 ","$22,328 ","$30,896 ","$35,238 ","$50,210 ","$63,783 "
Connecticut,3605330,1768860,93734,99242,115470,72468,176763,226394,217332,238821,254733,167862,75126,30915,1836470,88388,97298,108901,68990,168939,219467,221766,249462,266983,189547,98023,58706,,2515137,225021,656949,613201,561567,334219,79160,45020,,1211183,118042,333289,281631,267899,142283,42636,25403,,1303954,106979,323660,331570,293668,191936,36524,19617,,101526,2517,99009,,96628,1688,94940,,1436602,1013456,8719,1004737,939729,65008,423146,,1518059,936551,662,935889,883266,52623,581508,,939729,661605,100876,114339,61333,1576,,883266,561368,134290,64425,121607,1576,,1004737,939729,65008,,935889,883266,52623,,3503694,351476,153937,197539,3152218,1561926,1590292,,"$53,504 ","$27,474 ","$38,906 ","$44,872 ","$68,811 ","$89,355 ","$62,488 ","$31,577 ","$46,001 ","$54,365 ","$83,615 ","$108,585 ","$44,537 ","$22,074 ","$30,663 ","$38,362 ","$56,447 ","$76,290 "
Delaware,981892,477219,27567,28646,30950,18348,42180,63809,57016,58629,66068,52912,23913,7181,504673,26667,27835,29842,17790,41449,64069,58757,62606,73289,61044,29795,11530,,690618,61788,209928,186528,134252,71962,12917,13243,,329528,34241,105652,83640,62036,29305,6808,7846,,361090,27547,104276,102888,72216,42657,6109,5397,,25106,1196,23910,,25191,987,24204,,384134,254386,3682,250704,236135,14569,129748,,414664,242418,672,241746,228322,13424,172246,,236135,164106,32315,25634,13543,537,,228322,145307,39598,14538,28344,535,,250704,236135,14569,,241746,228322,13424,,955602,109274,47311,61963,846328,415720,430608,,"$45,782 ","$30,017 ","$35,625 ","$40,721 ","$61,034 ","$77,933 ","$52,057 ","$34,700 ","$42,278 ","$48,891 ","$70,888 ","$94,711 ","$40,764 ","$21,612 ","$29,978 ","$34,647 ","$53,577 ","$70,367 "
District of Columbia,683154,325490,21890,17335,16300,7748,31755,72944,52731,37237,33032,21419,9351,3748,357664,21068,17734,15149,7798,38651,82770,54067,36364,35382,27553,14617,6511,,487726,37934,75562,74761,124285,106838,47536,20810,,230462,18537,35786,33272,59978,47766,24254,10869,,257264,19397,39776,41489,64307,59072,23282,9941,,14220,554,13666,,17148,286,16862,,267002,196377,2704,193673,179949,13724,70625,,301403,209274,487,208787,194018,14769,92129,,179949,92742,42957,16594,27457,199,,194018,83823,51440,12743,45612,400,,193673,179949,13724,,208787,194018,14769,,651618,100618,42822,57796,551000,267524,283476,,"$75,336 ","$27,707 ","$32,680 ","$43,665 ","$78,399 ","$107,834 ","$80,865 ","$31,687 ","$34,301 ","$44,958 ","$86,892 ","$117,940 ","$71,131 ","$22,319 ","$31,537 ","$42,193 ","$72,081 ","$100,626 "
Florida,21339762,10489548,571443,583755,644169,379009,881672,1390105,1315368,1355700,1391425,1137797,621507,217598,10850214,547351,564146,608112,363328,847487,1352337,1311562,1379530,1506298,1304876,737603,327584,,15349290,1682505,4282929,4543900,3038293,1253271,356975,191417,,7429500,872152,2128716,2103420,1441631,567092,208612,107877,,7919790,810353,2154213,2440480,1596662,686179,148363,83540,,503701,26160,477541,,479554,16044,463510,,8565225,5494712,58973,5435739,5147411,288328,3070513,,9011799,4953578,12281,4941297,4677500,263797,4058221,,5147411,3638930,517028,751835,228570,11048,,4677500,3170156,634590,447850,414875,10029,,5435739,5147411,288328,,4941297,4677500,263797,,20928219,2744612,1230391,1514221,18183607,8996006,9187601,,"$38,669 ","$24,999 ","$30,855 ","$36,627 ","$51,092 ","$66,765 ","$43,360 ","$28,655 ","$34,854 ","$42,603 ","$61,402 ","$83,626 ","$33,736 ","$19,832 ","$25,721 ","$32,200 ","$44,157 ","$57,407 "
