age,sex,state,value
M_Under5Years,M,Alabama,151356
M_5to9Years,M,Alabama,155081
M_10to14Years,M,Alabama,167636
M_15to17Years,M,Alabama,99974
M_18to24Years,M,Alabama,230978
M_25to34Years,M,Alabama,319149
M_35to44Years,M,Alabama,299339
M_45to54Years,M,Alabama,309965
M_55to64Years,M,Alabama,324086
M_65to74Years,M,Alabama,238075
M_75to84Years,M,Alabama,106537
M_85YearsandOver,M,Alabama,27527
M_Under5Years,M,Alaska,25965
M_5to9Years,M,Alaska,27379
M_10to14Years,M,Alaska,25485
M_15to17Years,M,Alaska,14977
M_18to24Years,M,Alaska,38979
M_25to34Years,M,Alaska,61562
M_35to44Years,M,Alaska,50350
M_45to54Years,M,Alaska,46441
M_55to64Years,M,Alaska,48584
M_65to74Years,M,Alaska,31844
M_75to84Years,M,Alaska,10382
M_85YearsandOver,M,Alaska,2801
M_Under5Years,M,Arizona,210607
M_5to9Years,M,Arizona,224911
M_10to14Years,M,Arizona,244849
M_15to17Years,M,Arizona,144036
M_18to24Years,M,Arizona,347338
M_25to34Years,M,Arizona,499568
M_35to44Years,M,Arizona,450250
M_45to54Years,M,Arizona,419876
M_55to64Years,M,Arizona,415522
M_65to74Years,M,Arizona,344077
M_75to84Years,M,Arizona,179121
M_85YearsandOver,M,Arizona,53740
M_Under5Years,M,Arkansas,95410
M_5to9Years,M,Arkansas,99723
M_10to14Years,M,Arkansas,105077
M_15to17Years,M,Arkansas,62435
M_18to24Years,M,Arkansas,142808
M_25to34Years,M,Arkansas,194336
M_35to44Years,M,Arkansas,187731
M_45to54Years,M,Arkansas,181193
M_55to64Years,M,Arkansas,188082
M_65to74Years,M,Arkansas,141091
M_75to84Years,M,Arkansas,66298
M_85YearsandOver,M,Arkansas,19336
M_Under5Years,M,California,1203859
M_5to9Years,M,California,1245934
M_10to14Years,M,California,1362100
M_15to17Years,M,California,792617
M_18to24Years,M,California,1879868
M_25to34Years,M,California,3056135
M_35to44Years,M,California,2720662
M_45to54Years,M,California,2537185
M_55to64Years,M,California,2366158
M_65to74Years,M,California,1581047
M_75to84Years,M,California,696336
M_85YearsandOver,M,California,272143
M_Under5Years,M,Colorado,165967
M_5to9Years,M,Colorado,176827
M_10to14Years,M,Colorado,191554
M_15to17Years,M,Colorado,112904
M_18to24Years,M,Colorado,273168
M_25to34Years,M,Colorado,464018
M_35to44Years,M,Colorado,417273
M_45to54Years,M,Colorado,364491
M_55to64Years,M,Colorado,350470
M_65to74Years,M,Colorado,249580
M_75to84Years,M,Colorado,95642
M_85YearsandOver,M,Colorado,34042
M_Under5Years,M,Connecticut,93734
M_5to9Years,M,Connecticut,99242
