age,sex,state,value
<5,M,Alabama,151356
5-9,M,Alabama,155081
10-14,M,Alabama,167636
15-17,M,Alabama,99974
18-24,M,Alabama,230978
25-34,M,Alabama,319149
35-44,M,Alabama,299339
45-54,M,Alabama,309965
55-64,M,Alabama,324086
65-74,M,Alabama,238075
75-84,M,Alabama,106537
85+,M,Alabama,27527
<5,M,Alaska,25965
5-9,M,Alaska,27379
10-14,M,Alaska,25485
15-17,M,Alaska,14977
18-24,M,Alaska,38979
25-34,M,Alaska,61562
35-44,M,Alaska,50350
45-54,M,Alaska,46441
55-64,M,Alaska,48584
65-74,M,Alaska,31844
75-84,M,Alaska,10382
85+,M,Alaska,2801
<5,M,Arizona,210607
5-9,M,Arizona,224911
10-14,M,Arizona,244849
15-17,M,Arizona,144036
18-24,M,Arizona,347338
25-34,M,Arizona,499568
35-44,M,Arizona,450250
45-54,M,Arizona,419876
55-64,M,Arizona,415522
65-74,M,Arizona,344077
75-84,M,Arizona,179121
85+,M,Arizona,53740
<5,M,Arkansas,95410
5-9,M,Arkansas,99723
10-14,M,Arkansas,105077
15-17,M,Arkansas,62435
18-24,M,Arkansas,142808
25-34,M,Arkansas,194336
35-44,M,Arkansas,187731
45-54,M,Arkansas,181193
55-64,M,Arkansas,188082
65-74,M,Arkansas,141091
75-84,M,Arkansas,66298
85+,M,Arkansas,19336
<5,M,California,1203859
5-9,M,California,1245934
10-14,M,California,1362100
15-17,M,California,792617
18-24,M,California,1879868
25-34,M,California,3056135
35-44,M,California,2720662
45-54,M,California,2537185
55-64,M,California,2366158
65-74,M,California,1581047
75-84,M,California,696336
85+,M,California,272143
<5,M,Colorado,165967
5-9,M,Colorado,176827
10-14,M,Colorado,191554
15-17,M,Colorado,112904
18-24,M,Colorado,273168
25-34,M,Colorado,464018
35-44,M,Colorado,417273
45-54,M,Colorado,364491
55-64,M,Colorado,350470
65-74,M,Colorado,249580
75-84,M,Colorado,95642
85+,M,Colorado,34042
<5,M,Connecticut,93734
5-9,M,Connecticut,99242
10-14,M,Connecticut,115470
15-17,M,Connecticut,72468
18-24,M,Connecticut,176763
25-34,M,Connecticut,226394
35-44,M,Connecticut,217332
45-54,M,Connecticut,238821
55-64,M,Connecticut,254733
65-74,M,Connecticut,167862
75-84,M,Connecticut,75126
85+,M,Connecticut,30915
<5,M,Delaware,27567
5-9,M,Delaware,28646
10-14,M,Delaware,30950
15-17,M,Delaware,18348
18-24,M,Delaware,42180
25-34,M,Delaware,63809
35-44,M,Delaware,57016
45-54,M,Delaware,58629
55-64,M,Delaware,66068
65-74,M,Delaware,52912
75-84,M,Delaware,23913
85+,M,Delaware,7181
<5,M,DistrictofColumbia,21890
5-9,M,DistrictofColumbia,17335
10-14,M,DistrictofColumbia,16300
15-17,M,DistrictofColumbia,7748
18-24,M,DistrictofColumbia,31755
25-34,M,DistrictofColumbia,72944
35-44,M,DistrictofColumbia,52731
45-54,M,DistrictofColumbia,37237
55-64,M,DistrictofColumbia,33032
65-74,M,DistrictofColumbia,21419
75-84,M,DistrictofColumbia,9351
85+,M,DistrictofColumbia,3748
<5,M,Florida,571443
5-9,M,Florida,583755
10-14,M,Florida,644169
15-17,M,Florida,379009
18-24,M,Florida,881672
25-34,M,Florida,1390105
35-44,M,Florida,1315368
45-54,M,Florida,1355700
55-64,M,Florida,1391425
65-74,M,Florida,1137797
75-84,M,Florida,621507
85+,M,Florida,217598
<5,M,Georgia,329092
5-9,M,Georgia,350442
10-14,M,Georgia,385435
15-17,M,Georgia,228016
18-24,M,Georgia,518757
25-34,M,Georgia,721328
35-44,M,Georgia,686105
45-54,M,Georgia,690137
55-64,M,Georgia,631328
65-74,M,Georgia,424233
75-84,M,Georgia,175792
85+,M,Georgia,50951
<5,M,Hawaii,45527
5-9,M,Hawaii,44814
10-14,M,Hawaii,45331
15-17,M,Hawaii,24728
18-24,M,Hawaii,66691
25-34,M,Hawaii,105291
35-44,M,Hawaii,96263
45-54,M,Hawaii,88254
55-64,M,Hawaii,92087
65-74,M,Hawaii,75726
75-84,M,Hawaii,33531
85+,M,Hawaii,13929
<5,M,Idaho,58614
5-9,M,Idaho,65157
10-14,M,Idaho,69888
15-17,M,Idaho,41468
18-24,M,Idaho,86930
25-34,M,Idaho,119690
35-44,M,Idaho,118420
45-54,M,Idaho,105995
55-64,M,Idaho,109439
65-74,M,Idaho,87447
75-84,M,Idaho,38358
85+,M,Idaho,11123
<5,M,Illinois,381213
5-9,M,Illinois,397940
10-14,M,Illinois,433292
15-17,M,Illinois,262755
18-24,M,Illinois,594874
25-34,M,Illinois,882628
35-44,M,Illinois,843768
45-54,M,Illinois,819285
55-64,M,Illinois,826202
65-74,M,Illinois,559618
75-84,M,Illinois,243598
85+,M,Illinois,87003
<5,M,Indiana,213036
5-9,M,Indiana,222731
10-14,M,Indiana,237190
15-17,M,Indiana,142459
18-24,M,Indiana,336559
25-34,M,Indiana,441929
35-44,M,Indiana,423372
45-54,M,Indiana,420733
55-64,M,Indiana,433858
65-74,M,Indiana,301294
75-84,M,Indiana,127233
85+,M,Indiana,43966
<5,M,Iowa,99307
5-9,M,Iowa,105743
10-14,M,Iowa,108860
15-17,M,Iowa,65647
18-24,M,Iowa,163285
25-34,M,Iowa,201396
35-44,M,Iowa,201886
45-54,M,Iowa,188639
55-64,M,Iowa,209780
65-74,M,Iowa,152458
75-84,M,Iowa,66406
85+,M,Iowa,26594
<5,M,Kansas,95187
5-9,M,Kansas,104105
10-14,M,Kansas,104313
15-17,M,Kansas,62942
18-24,M,Kansas,154246
25-34,M,Kansas,193833
35-44,M,Kansas,186672
45-54,M,Kansas,170798
55-64,M,Kansas,185544
65-74,M,Kansas,132021
75-84,M,Kansas,56124
85+,M,Kansas,22367
<5,M,Kentucky,139220
5-9,M,Kentucky,144884
10-14,M,Kentucky,149328
15-17,M,Kentucky,91259
18-24,M,Kentucky,215116
25-34,M,Kentucky,294612
35-44,M,Kentucky,281148
45-54,M,Kentucky,286360
55-64,M,Kentucky,293125
65-74,M,Kentucky,212674
75-84,M,Kentucky,90249
85+,M,Kentucky,25808
<5,M,Louisiana,151391
5-9,M,Louisiana,153155
10-14,M,Louisiana,162798
15-17,M,Louisiana,94784
18-24,M,Louisiana,215072
25-34,M,Louisiana,321954
35-44,M,Louisiana,298693
45-54,M,Louisiana,272146
55-64,M,Louisiana,293109
65-74,M,Louisiana,206992
75-84,M,Louisiana,84806
85+,M,Louisiana,28661
<5,M,Maine,32899
5-9,M,Maine,35609
10-14,M,Maine,38348
15-17,M,Maine,24154
18-24,M,Maine,54992
25-34,M,Maine,81330
35-44,M,Maine,78454
45-54,M,Maine,88903
55-64,M,Maine,104428
65-74,M,Maine,82589
75-84,M,Maine,35269
85+,M,Maine,11333
<5,M,Maryland,185279
5-9,M,Maryland,191750
10-14,M,Maryland,204033
15-17,M,Maryland,120450
18-24,M,Maryland,270938
25-34,M,Maryland,412275
35-44,M,Maryland,395351
45-54,M,Maryland,398574
55-64,M,Maryland,401452
65-74,M,Maryland,261463
75-84,M,Maryland,114345
85+,M,Maryland,39236
<5,M,Massachusetts,183397
5-9,M,Massachusetts,189716
10-14,M,Massachusetts,208481
15-17,M,Massachusetts,129924
18-24,M,Massachusetts,345976
25-34,M,Massachusetts,495954
35-44,M,Massachusetts,432400
45-54,M,Massachusetts,450590
55-64,M,Massachusetts,468917
65-74,M,Massachusetts,318673
75-84,M,Massachusetts,134840
85+,M,Massachusetts,54306
<5,M,Michigan,288862
5-9,M,Michigan,306114
10-14,M,Michigan,324974
15-17,M,Michigan,202816
18-24,M,Michigan,484335
25-34,M,Michigan,658800
35-44,M,Michigan,597211
45-54,M,Michigan,638651
55-64,M,Michigan,696811
65-74,M,Michigan,498907
75-84,M,Michigan,211710
85+,M,Michigan,74134
<5,M,Minnesota,178137
5-9,M,Minnesota,190312
10-14,M,Minnesota,193180
15-17,M,Minnesota,115182
18-24,M,Minnesota,253407
25-34,M,Minnesota,385927
35-44,M,Minnesota,377602
45-54,M,Minnesota,349494
55-64,M,Minnesota,381387
65-74,M,Minnesota,260417
75-84,M,Minnesota,111717
85+,M,Minnesota,42373
<5,M,Mississippi,93586
5-9,M,Mississippi,93551
10-14,M,Mississippi,110455
15-17,M,Mississippi,63283
18-24,M,Mississippi,145668
25-34,M,Mississippi,187783
35-44,M,Mississippi,181643
45-54,M,Mississippi,176219
55-64,M,Mississippi,183705
65-74,M,Mississippi,134243
75-84,M,Mississippi,58641
85+,M,Mississippi,15478
<5,M,Missouri,188129
5-9,M,Missouri,196550
10-14,M,Missouri,205388
15-17,M,Missouri,123453
18-24,M,Missouri,286303
25-34,M,Missouri,406863
35-44,M,Missouri,383011
45-54,M,Missouri,369588
55-64,M,Missouri,406898
65-74,M,Missouri,287399
75-84,M,Missouri,130452
85+,M,Missouri,43707
<5,M,Montana,31226
5-9,M,Montana,33436
10-14,M,Montana,34933
15-17,M,Montana,20506
18-24,M,Montana,52356
25-34,M,Montana,70343
35-44,M,Montana,68258
45-54,M,Montana,62006
55-64,M,Montana,74706
65-74,M,Montana,62808
75-84,M,Montana,27422
85+,M,Montana,7671
<5,M,Nebraska,66837
5-9,M,Nebraska,69746
10-14,M,Nebraska,71254
15-17,M,Nebraska,42180
18-24,M,Nebraska,96823
25-34,M,Nebraska,130233
35-44,M,Nebraska,127143
45-54,M,Nebraska,113342
55-64,M,Nebraska,122246
65-74,M,Nebraska,86805
75-84,M,Nebraska,37956
85+,M,Nebraska,14298
<5,M,Nevada,92638
5-9,M,Nevada,98171
10-14,M,Nevada,104066
15-17,M,Nevada,60095
18-24,M,Nevada,127781
25-34,M,Nevada,225322
35-44,M,Nevada,210823
45-54,M,Nevada,202732
55-64,M,Nevada,191222
65-74,M,Nevada,145580
75-84,M,Nevada,65338
85+,M,Nevada,18021
<5,M,NewHampshire,32295
5-9,M,NewHampshire,36298
10-14,M,NewHampshire,39656
15-17,M,NewHampshire,25252
18-24,M,NewHampshire,63936
25-34,M,NewHampshire,88591
35-44,M,NewHampshire,81058
45-54,M,NewHampshire,93522
55-64,M,NewHampshire,107461
65-74,M,NewHampshire,75070
75-84,M,NewHampshire,30331
85+,M,NewHampshire,10376
<5,M,NewJersey,271646
5-9,M,NewJersey,287097
10-14,M,NewJersey,299463
15-17,M,NewJersey,185406
18-24,M,NewJersey,399356
25-34,M,NewJersey,597528
35-44,M,NewJersey,598712
45-54,M,NewJersey,624281
55-64,M,NewJersey,622721
65-74,M,NewJersey,403049
75-84,M,NewJersey,182138
85+,M,NewJersey,67914
<5,M,New Mexico,61578
5-9,M,New Mexico,68043
10-14,M,New Mexico,74617
15-17,M,New Mexico,43125
18-24,M,New Mexico,102046
25-34,M,New Mexico,144760
35-44,M,New Mexico,131926
45-54,M,New Mexico,119662
55-64,M,New Mexico,132493
65-74,M,New Mexico,106777
75-84,M,New Mexico,47392
85+,M,New Mexico,16029
<5,M,NewYork,590167
5-9,M,NewYork,577739
10-14,M,NewYork,620488
15-17,M,NewYork,370896
18-24,M,NewYork,910475
25-34,M,NewYork,1449506
35-44,M,NewYork,1264814
45-54,M,NewYork,1275357
55-64,M,NewYork,1310482
65-74,M,NewYork,895711
75-84,M,NewYork,400262
85+,M,NewYork,155814
<5,M,NorthCarolina,304889
5-9,M,NorthCarolina,319048
10-14,M,NorthCarolina,346840
15-17,M,NorthCarolina,205862
18-24,M,NorthCarolina,504452
25-34,M,NorthCarolina,680742
35-44,M,NorthCarolina,642983
45-54,M,NorthCarolina,668994
55-64,M,NorthCarolina,647688
65-74,M,NorthCarolina,477261
75-84,M,NorthCarolina,205600
85+,M,NorthCarolina,63307
<5,M,NorthDakota,27612
5-9,M,NorthDakota,26774
10-14,M,NorthDakota,26311
15-17,M,NorthDakota,13946
18-24,M,NorthDakota,44800
25-34,M,NorthDakota,61657
35-44,M,NorthDakota,50465
45-54,M,NorthDakota,41873
55-64,M,NorthDakota,48776
65-74,M,NorthDakota,33924
75-84,M,NorthDakota,14654
85+,M,NorthDakota,6301
<5,M,Ohio,351995
5-9,M,Ohio,366508
10-14,M,Ohio,390216
15-17,M,Ohio,237370
18-24,M,Ohio,539866
25-34,M,Ohio,776454
35-44,M,Ohio,715930
45-54,M,Ohio,737774
55-64,M,Ohio,792324
65-74,M,Ohio,564936
75-84,M,Ohio,240950
85+,M,Ohio,85681
<5,M,Oklahoma,129519
5-9,M,Oklahoma,136180
10-14,M,Oklahoma,142822
15-17,M,Oklahoma,82948
18-24,M,Oklahoma,196910
25-34,M,Oklahoma,271531
35-44,M,Oklahoma,254745
45-54,M,Oklahoma,231695
55-64,M,Oklahoma,241267
65-74,M,Oklahoma,173216
75-84,M,Oklahoma,80827
85+,M,Oklahoma,23267
<5,M,Oregon,114886
5-9,M,Oregon,124130
10-14,M,Oregon,131624
15-17,M,Oregon,77796
18-24,M,Oregon,184620
25-34,M,Oregon,300714
35-44,M,Oregon,292494
45-54,M,Oregon,262643
55-64,M,Oregon,264235
65-74,M,Oregon,220081
75-84,M,Oregon,90549
85+,M,Oregon,32657
<5,M,Pennsylvania,358907
5-9,M,Pennsylvania,372560
10-14,M,Pennsylvania,407426
15-17,M,Pennsylvania,247022
18-24,M,Pennsylvania,584520
25-34,M,Pennsylvania,864033
35-44,M,Pennsylvania,784542
45-54,M,Pennsylvania,824294
55-64,M,Pennsylvania,903026
65-74,M,Pennsylvania,651629
75-84,M,Pennsylvania,285611
85+,M,Pennsylvania,110647
<5,M,RhodeIsland,28236
5-9,M,RhodeIsland,28728
10-14,M,RhodeIsland,32137
15-17,M,RhodeIsland,19833
18-24,M,RhodeIsland,55615
25-34,M,RhodeIsland,77010
35-44,M,RhodeIsland,65678
45-54,M,RhodeIsland,69183
55-64,M,RhodeIsland,74894
65-74,M,RhodeIsland,52110
75-84,M,RhodeIsland,22662
85+,M,RhodeIsland,8197
<5,M,SouthCarolina,146308
5-9,M,SouthCarolina,155195
10-14,M,SouthCarolina,167163
15-17,M,SouthCarolina,97971
18-24,M,SouthCarolina,238194
25-34,M,SouthCarolina,324208
35-44,M,SouthCarolina,305203
45-54,M,SouthCarolina,310404
55-64,M,SouthCarolina,324491
65-74,M,SouthCarolina,260748
75-84,M,SouthCarolina,113123
85+,M,SouthCarolina,31051
<5,M,SouthDakota,30241
5-9,M,SouthDakota,31312
10-14,M,SouthDakota,31887
15-17,M,SouthDakota,18202
18-24,M,SouthDakota,42713
25-34,M,SouthDakota,59518
35-44,M,SouthDakota,55526
45-54,M,SouthDakota,49291
55-64,M,SouthDakota,58835
65-74,M,SouthDakota,44416
75-84,M,SouthDakota,18047
85+,M,SouthDakota,6473
<5,M,Tennessee,207621
5-9,M,Tennessee,213730
10-14,M,Tennessee,227633
15-17,M,Tennessee,135614
18-24,M,Tennessee,311993
25-34,M,Tennessee,464442
35-44,M,Tennessee,427727
45-54,M,Tennessee,438241
55-64,M,Tennessee,435497
65-74,M,Tennessee,320313
75-84,M,Tennessee,141284
85+,M,Tennessee,38004
<5,M,Texas,1000733
5-9,M,Texas,1043347
10-14,M,Texas,1111175
15-17,M,Texas,647804
18-24,M,Texas,1436876
25-34,M,Texas,2120302
35-44,M,Texas,2011317
45-54,M,Texas,1790202
55-64,M,Texas,1603097
65-74,M,Texas,1051370
75-84,M,Texas,441658
85+,M,Texas,140290
<5,M,Utah,125819
5-9,M,Utah,136703
10-14,M,Utah,140717
15-17,M,Utah,82895
18-24,M,Utah,185192
25-34,M,Utah,239874
35-44,M,Utah,229722
45-54,M,Utah,172254
55-64,M,Utah,152357
65-74,M,Utah,106686
75-84,M,Utah,46514
85+,M,Utah,15110
<5,M,Vermont,15119
5-9,M,Vermont,17222
10-14,M,Vermont,18161
15-17,M,Vermont,11305
18-24,M,Vermont,35186
25-34,M,Vermont,38087
35-44,M,Vermont,36770
45-54,M,Vermont,40240
55-64,M,Vermont,48289
65-74,M,Vermont,37692
75-84,M,Vermont,15604
85+,M,Vermont,4858
<5,M,Virginia,256734
5-9,M,Virginia,266854
10-14,M,Virginia,280270
15-17,M,Virginia,166637
18-24,M,Virginia,415948
25-34,M,Virginia,593484
35-44,M,Virginia,568853
45-54,M,Virginia,555240
55-64,M,Virginia,546869
65-74,M,Virginia,376160
75-84,M,Virginia,165350
85+,M,Virginia,52882
<5,M,Washington,230732
5-9,M,Washington,242605
10-14,M,Washington,245314
15-17,M,Washington,142233
18-24,M,Washington,341829
25-34,M,Washington,596836
35-44,M,Washington,534910
45-54,M,Washington,476959
55-64,M,Washington,478018
65-74,M,Washington,350206
75-84,M,Washington,143665
85+,M,Washington,48657
<5,M,WestVirginia,48062
5-9,M,WestVirginia,51311
10-14,M,WestVirginia,56100
15-17,M,WestVirginia,33282
18-24,M,WestVirginia,81598
25-34,M,WestVirginia,107520
35-44,M,WestVirginia,110481
45-54,M,WestVirginia,117303
55-64,M,WestVirginia,126256
65-74,M,WestVirginia,104964
75-84,M,WestVirginia,46984
85+,M,WestVirginia,12862
<5,M,Wisconsin,168590
5-9,M,Wisconsin,180072
10-14,M,Wisconsin,195924
15-17,M,Wisconsin,117764
18-24,M,Wisconsin,280384
25-34,M,Wisconsin,375284
35-44,M,Wisconsin,370951
45-54,M,Wisconsin,371519
55-64,M,Wisconsin,416624
65-74,M,Wisconsin,292854
75-84,M,Wisconsin,124187
85+,M,Wisconsin,43468
<5,M,Wyoming,17712
5-9,M,Wyoming,19577
10-14,M,Wyoming,20150
15-17,M,Wyoming,11865
18-24,M,Wyoming,27621
25-34,M,Wyoming,39712
35-44,M,Wyoming,38660
45-54,M,Wyoming,33686
55-64,M,Wyoming,39252
65-74,M,Wyoming,30787
75-84,M,Wyoming,12406
85+,M,Wyoming,3776
