Statistics,TotalPopulationBySex,MalePop,M_Under5Years,M_5to9Years,M_10to14Years,M_15to17Years,M_18to24Years,M_25to34Years,M_35to44Years,M_45to54Years,M_55to64Years,M_65to74Years,M_75to84Years,M_85YearsandOver,FemalePop,F_Under5Years,F_5to9Years,F_10to14Years,F_15to17Years,F_18to24Years,F_25to34Years,F_35to44Years,F_45to54Years,F_55to64Years,F_65to74Years,F_75to84Years,F_85YearsandOver,TotalEmpStat_Pop16YearsandOver,TotalEmpStat_InLaborForce,TotalEmpStat_InArmedForces,TotalEmpStat_Civilian,TotalEmpStat_Employed,TotalEmpStat_Unemployed,TotalEmpStat_NotinLaborForce,MaleEmpStat_Pop16YearsandOver,MaleEmpStat_InLaborForce,MaleEmpStat_InArmedForces,MaleEmpStat_Civilian,MaleEmpStat_Employed,MaleEmpStat_Unemployed,MaleEmpStat_NotinLaborForce,FemEmpStat_Pop16YearsandOver,FemEmpStat_InLaborForce,FemEmpStat_InArmedForces,FemEmpStat_Civilian,FemEmpStat_Employed,FemEmpStat_Unemployed,FemEmpStat_NotinLaborForce,TotalEmpSec_EmployedCivilianPop16YearsandOver,TotalEmpSec_PrivateSector,TotalEmpSec_PublicSector,TotalEmpSec_SelfEmployed,TotalEmpSec_PrivateNonProfit,TotalEmpSec_UnpaidFamilyWorkers,MaleEmpSec_EmployedCivilianPop16YearsandOver,MaleEmpSec_PrivateSector,MaleEmpSec_PublicSector,MaleEmpSec_SelfEmployed,MaleEmpSec_PrivateNonProfit,MaleEmpSec_UnpaidFamilyWorkers,FemEmpSec_EmployedCivilianPop16YearsandOver,FemEmpSec_PrivateSector,FemEmpSec_PublicSector,FemEmpSec_SelfEmployed,FemEmpSec_PrivateNonProfit,FemEmpSec_UnpaidFamilyWorkers,Total_EmpCivPop16andup,Total_ManagementBusinessandFinancialOperations,Total_ProfessionalandRelated,Total_HealthcareSupport ,Total_ProtectiveService,Total_FoodPrepandServing,Total_BuildingandGroundsCleaningandMaintenance  ,Total_PersonalCareandService,Total_SalesandRelated,Total_OfficeandAdminSupport,Total_FarmingFishingandForestry,Total_ConstructionExtractionandMaintenance,Total_Production,Total_TranspoandMaterialMoving,MaleEmpCivPop16andup,Male_ManagementBusinessandFinancialOperations,Male_ProfessionalandRelated,Male_HealthcareSupport ,Male_ProtectiveService,Male_FoodPrepandServing,Male_BuildingandGroundsCleaningandMaintenance  ,Male_PersonalCareandService,Male_SalesandRelated,Male_OfficeandAdminSupport,Male_FarmingFishingandForestry,Male_ConstructionExtractionandMaintenance,Male_Production,Male_TranspoandMaterialMoving,FemEmpCivPop16andup,Fem_ManagementBusinessandFinancialOperations,Fem_ProfessionalandRelated,Fem_HealthcareSupport ,Fem_ProtectiveService,Fem_FoodPrepandServing,Fem_BuildingandGroundsCleaningandMaintenance  ,Fem_PersonalCareandService,Fem_SalesandRelated,Fem_OfficeandAdminSupport,Fem_FarmingFishingandForestry,Fem_ConstructionExtractionandMaintenance,Fem_Production,Fem_TranspoandMaterialMoving
Alabama,4997675,2429703,151356,155081,167636,99974,230978,319149,299339,309965,324086,238075,106537,27527,2567972,144276,146733,162158,95167,230513,328098,315771,323966,349002,273827,142272,56189,4005499,2313616,15603,2298013,2173597,124416,1691883,1921714,1213346,13658,1199688,1135882,63806,708368,2083785,1100270,1945,1098325,1037715,60610,983515,2173597,1490162,341595,193648,145152,3040,1135882,812182,149692,124615,47676,1717,1037715,677980,191903,69033,97476,1323,2173597,299483,485609,59108,48291,112534,78164,50659,222877,235111,9623,198293,187874,185971,1135882,162178,191252,6417,37551,46610,47810,10806,103497,47082,7965,191199,135117,148398,1037715,137305,294357,52691,10740,65924,30354,39853,119380,188029,1658,7094,52757,37573
Alaska,735951,384749,25965,27379,25485,14977,38979,61562,50350,46441,48584,31844,10382,2801,351202,24826,25891,24162,14049,29856,54963,46314,41278,44702,29621,11713,3827,572165,383795,20077,363718,338664,25054,188370,300904,212319,17513,194806,180009,14797,88585,271261,171476,2564,168912,158655,10257,99785,338664,182782,87522,33806,33750,804,180009,104114,43216,19595,12640,444,158655,78668,44306,14211,21110,360,338664,50185,80209,11297,9568,17336,12337,10157,26346,41791,3615,34762,13244,27817,180009,25614,33660,1894,7500,8135,7667,3067,12635,11020,2826,33410,9903,22678,158655,24571,46549,9403,2068,9201,4670,7090,13711,30771,789,1352,3341,5139
Arizona,7079203,3533895,210607,224911,244849,144036,347338,499568,450250,419876,415522,344077,179121,53740,3545308,201999,215310,235194,137529,325423,467102,432664,419087,444079,387296,200147,79478,5650624,3424193,22287,3401906,3210791,191115,2226431,2804618,1839639,18958,1820681,1720517,100164,964979,2846006,1584554,3329,1581225,1490274,90951,1261452,3210791,2216637,445989,319350,222465,6350,1720517,1238702,205335,193809,79205,3466,1490274,977935,240654,125541,143260,2884,3210791,520498,719677,100174,79602,183292,130921,84259,341291,411891,17123,272034,123389,226640,1720517,278256,327760,19105,62019,87929,81981,21330,180442,118684,13050,261718,92048,176195,1490274,242242,391917,81069,17583,95363,48940,62929,160849,293207,4073,10316,31341,50445
Arkansas,3006309,1483520,95410,99723,105077,62435,142808,194336,187731,181193,188082,141091,66298,19336,1522789,89170,95925,98171,59874,136426,194163,188700,183520,198204,159216,83939,35481,2382255,1390373,5777,1384596,1310863,73733,991882,1162716,728160,4831,723329,683007,40322,434556,1219539,662213,946,661267,627856,33411,557326,1310863,880457,198342,130683,98653,2728,683007,482441,81200,83689,34150,1527,627856,398016,117142,46994,64503,1201,1310863,179032,282366,41812,25703,71291,49027,28933,130380,143238,12751,120433,111720,114177,683007,97192,102627,5562,19744,29126,29650,6704,63638,31507,10658,116297,77634,92668,627856,81840,179739,36250,5959,42165,19377,22229,66742,111731,2093,4136,34086,21509
California,39455353,19714044,1203859,1245934,1362100,792617,1879868,3056135,2720662,2537185,2366158,1581047,696336,272143,19741309,1146476,1188179,1296261,757006,1785983,2885487,2620387,2506218,2434959,1782400,885135,452818,31499704,20129162,148700,19980462,18676721,1303741,11370542,15642410,10922019,127554,10794465,10104245,690220,4720391,15857294,9207143,21146,9185997,8572476,613521,6650151,18676721,12565241,2639017,2136654,1298663,37146,10104245,7157998,1139944,1307668,479777,18858,8572476,5407243,1499073,828986,818886,18288,18676721,3130501,4545061,678671,388197,1011808,715376,517132,1807287,2004825,266145,1388387,863584,1359747,10104245,1696490,2178273,135070,307159,509664,428211,130653,923778,590383,186063,1349986,599579,1068936,8572476,1434011,2366788,543601,81038,502144,287165,386479,883509,1414442,80082,38401,264005,290811
Colorado,5723176,2895936,165967,176827,191554,112904,273168,464018,417273,364491,350470,249580,95642,34042,2827240,158279,170826,178712,107666,250233,425915,387976,347705,359938,268788,116980,54222,4606399,3157660,36792,3120868,2975830,145038,1448739,2323120,1711376,31761,1679615,1600877,78738,611744,2283279,1446284,5031,1441253,1374953,66300,836995,2975830,1979244,410877,342467,236032,7210,1600877,1122797,187326,206392,80742,3620,1374953,856447,223551,136075,155290,3590,2975830,576111,755583,80363,60863,159385,90737,79458,297593,311774,15770,249689,108736,189768,1600877,319802,351574,12677,45437,76125,51270,18716,159829,85304,11808,239985,76958,151392,1374953,256309,404009,67686,15426,83260,39467,60742,137764,226470,3962,9704,31778,38376
Connecticut,3605330,1768860,93734,99242,115470,72468,176763,226394,217332,238821,254733,167862,75126,30915,1836470,88388,97298,108901,68990,168939,219467,221766,249462,266983,189547,98023,58706,2954661,1950007,9381,1940626,1822995,117631,1004654,1436602,1013456,8719,1004737,939729,65008,423146,1518059,936551,662,935889,883266,52623,581508,1822995,1222973,235166,178764,182940,3152,939729,661605,100876,114339,61333,1576,883266,561368,134290,64425,121607,1576,1822995,341431,480540,65769,34316,86199,66499,57422,180145,189064,2983,129279,85241,104107,939729,188229,202944,9756,27901,39969,42815,15431,92997,48664,1823,125443,60911,82846,883266,153202,277596,56013,6415,46230,23684,41991,87148,140400,1160,3836,24330,21261
Delaware,981892,477219,27567,28646,30950,18348,42180,63809,57016,58629,66068,52912,23913,7181,504673,26667,27835,29842,17790,41449,64069,58757,62606,73289,61044,29795,11530,798798,496804,4354,492450,464457,27993,301994,384134,254386,3682,250704,236135,14569,129748,414664,242418,672,241746,228322,13424,172246,464457,309413,71913,40172,41887,1072,236135,164106,32315,25634,13543,537,228322,145307,39598,14538,28344,535,464457,76894,114813,14763,12285,22722,17724,12359,43911,54312,2272,38322,19275,34805,236135,39033,45688,2233,9040,9708,12006,3565,21783,13069,1633,37331,13901,27145,228322,37861,69125,12530,3245,13014,5718,8794,22128,41243,639,991,5374,7660
District of Columbia,683154,325490,21890,17335,16300,7748,31755,72944,52731,37237,33032,21419,9351,3748,357664,21068,17734,15149,7798,38651,82770,54067,36364,35382,27553,14617,6511,568405,405651,3191,402460,373967,28493,162754,267002,196377,2704,193673,179949,13724,70625,301403,209274,487,208787,194018,14769,92129,373967,176565,94397,29337,73069,599,179949,92742,42957,16594,27457,199,194018,83823,51440,12743,45612,400,373967,108895,143871,5263,9118,16210,9255,8668,20489,30414,117,8736,2110,10821,179949,51061,67638,1368,4723,8536,4708,2118,10838,10537,9,8285,1575,8553,194018,57834,76233,3895,4395,7674,4547,6550,9651,19877,108,451,535,2268
Florida,21339762,10489548,571443,583755,644169,379009,881672,1390105,1315368,1355700,1391425,1137797,621507,217598,10850214,547351,564146,608112,363328,847487,1352337,1311562,1379530,1506298,1304876,737603,327584,17577024,10448290,71254,10377036,9824911,552125,7128734,8565225,5494712,58973,5435739,5147411,288328,3070513,9011799,4953578,12281,4941297,4677500,263797,4058221,9824911,6809086,1151618,1199685,643445,21077,5147411,3638930,517028,751835,228570,11048,4677500,3170156,634590,447850,414875,10029,9824911,1585353,2081233,290718,235724,612680,447124,282120,1151265,1191217,47119,864323,319389,716646,5147411,876001,870142,40493,175445,294683,252355,86363,575839,316599,33773,829119,221500,575099,4677500,709352,1211091,250225,60279,317997,194769,195757,575426,874618,13346,35204,97889,141547
