Statistics,Alabama,AL_pct,Alaska,AK_pct,Arizona,AZ_pct,Arkansas,AR_pct,California,CA_pct,Colorado,CO_pct,Connecticut,CT_pct,Delaware,DE_pct,District of Columbia,DC_pct,Florida,FL_pct,Georgia,GA_pct,Hawaii,HI_pct,Idaho,ID_pct,Illinois,IL_pct,Indiana,IN_pct,Iowa,IA_pct,Kansas,KS_pct,Kentucky,KY_pct,Louisiana,LA_pct,Maine,ME_pct,Maryland,MD_pct,Massachusetts,MA_pct,Michigan,MI_pct,Minnesota,MN_pct,Mississippi,MS_pct,Missouri,MO_pct,Montana,MT_pct,Nebraska,NE_pct,Nevada,NV_pct,New Hampshire,NH_pct,New Jersey,NJ_pct,New Mexico,NM_pct,New York,NY_pct,North Carolina,NC_pct,North Dakota,ND_pct,Ohio,OH_pct,Oklahoma,OK_pct,Oregon,OR_pct,Pennsylvania,PA_pct,Rhode Island,RI_pct,South Carolina,SC_pct,South Dakota,SD_pct,Tennessee,TN_pct,Texas,TX_pct,Utah,UT_pct,Vermont,VT_pct,Virginia,VA_pct,Washington,WA_pct,West Virginia,WV_pct,Wisconsin,WI_pct,Wyoming,WY_pct,TOTAL (All Selected States),Total_pct
Total Population,4997675,,735951,,7079203,,3006309,,39455353,,5723176,,3605330,,981892,,683154,,21339762,,10625615,,1453498,,1811617,,12821813,,6751340,,3179090,,2932099,,4494141,,4657305,,1357046,,6148545,,6991852,,10062512,,5670472,,2967023,,6141534,,1077978,,1951480,,3059238,,1372175,,9234024,,2109366,,20114745,,10367022,,773344,,11769923,,3948136,,4207177,,12970650,,1091949,,5078903,,881785,,6859497,,28862581,,3231370,,641637,,8582479,,7617364,,1801049,,5871661,,576641,,329725481,
MalePop,2429703,0.486,384749,0.523,3533895,0.499,1483520,0.494,19714044,0.5,2895936,0.506,1768860,0.491,477219,0.486,325490,0.477,10489548,0.492,5191616,0.489,732172,0.504,912529,0.504,6332176,0.494,3344360,0.495,1590001,0.5,1468152,0.501,2223783,0.495,2283561,0.49,668308,0.493,2995146,0.487,3413174,0.488,4983325,0.495,2839135,0.501,1444255,0.487,3027741,0.493,545671,0.506,978863,0.502,1541789,0.504,683846,0.498,4539311,0.492,1048448,0.497,9821711,0.488,5067666,0.489,397093,0.514,5800004,0.493,1964927,0.498,2096429,0.498,6394217,0.493,534283,0.489,2474059,0.487,446461,0.506,3362099,0.49,14398171,0.499,1633843,0.506,318533,0.496,4245281,0.495,3831964,0.503,896723,0.498,2937621,0.5,295204,0.512,163206615,0.495
FemalePop,2567972,0.514,351202,0.477,3545308,0.501,1522789,0.507,19741309,0.5,2827240,0.494,1836470,0.509,504673,0.514,357664,0.524,10850214,0.509,5433999,0.511,721326,0.496,899088,0.496,6489637,0.506,3406980,0.505,1589089,0.5,1463947,0.499,2270358,0.505,2373744,0.51,688738,0.508,3153399,0.513,3578678,0.512,5079187,0.505,2831337,0.499,1522768,0.513,3113793,0.507,532307,0.494,972617,0.498,1517449,0.496,688329,0.502,4694713,0.508,1060918,0.503,10293034,0.512,5299356,0.511,376251,0.487,5969919,0.507,1983209,0.502,2110748,0.502,6576433,0.507,557666,0.511,2604844,0.513,435324,0.494,3497398,0.51,14464410,0.501,1597527,0.494,323104,0.504,4337198,0.505,3785400,0.497,904326,0.502,2934040,0.5,281437,0.488,166518866,0.505
Total Employed Civilian Population 16 Years and Over,2173597,,338664,,3210791,,1310863,,18676721,,2975830,,1822995,,464457,,373967,,9824911,,4983753,,680301,,847426,,6273473,,3250923,,1620796,,1450216,,2009185,,2013907,,681187,,3120977,,3667019,,4692409,,2980477,,1240790,,2945966,,526641,,1011989,,1429447,,738506,,4588902,,889428,,9663517,,4845768,,403612,,5656463,,1786742,,2026107,,6295594,,552707,,2313378,,448357,,3201140,,13618630,,1590143,,335239,,4219781,,3701656,,736088,,3014612,,284934,,157510982,
Management_Business_and Financial Operations  Occupations,299483,0.138,50185,0.148,520498,0.162,179032,0.137,3130501,0.168,576111,0.194,341431,0.187,76894,0.166,108895,0.291,1585353,0.161,832782,0.167,98313,0.145,127925,0.151,1082773,0.173,469829,0.145,257049,0.159,234371,0.162,280806,0.14,273507,0.136,106616,0.157,598810,0.192,706586,0.193,710336,0.151,531688,0.178,149594,0.121,463345,0.157,84813,0.161,166790,0.165,193698,0.136,126718,0.172,867841,0.189,124482,0.14,1605431,0.166,799397,0.165,67671,0.168,877584,0.155,262368,0.147,335741,0.166,1007647,0.16,86054,0.156,333908,0.144,73289,0.164,476871,0.149,2220551,0.163,266406,0.168,55447,0.165,809328,0.192,651733,0.176,86753,0.118,467743,0.155,41839,0.147,25882816,0.164
Professional and Related Occupations,485609,0.223,80209,0.237,719677,0.224,282366,0.215,4545061,0.243,755583,0.254,480540,0.264,114813,0.247,143871,0.385,2081233,0.212,1130593,0.227,151015,0.222,181660,0.214,1472420,0.235,699309,0.215,352131,0.217,342311,0.236,437271,0.218,457984,0.227,164028,0.241,904118,0.29,1089638,0.297,1087115,0.232,751734,0.252,271204,0.219,680830,0.231,116175,0.221,230139,0.227,259022,0.181,187998,0.255,1202332,0.262,218830,0.246,2599290,0.269,1133249,0.234,88925,0.22,1295308,0.229,386830,0.217,494830,0.244,1550626,0.246,139930,0.253,513031,0.222,95547,0.213,707355,0.221,3024818,0.222,376103,0.237,92372,0.276,1144886,0.271,958986,0.259,167453,0.228,677381,0.225,62925,0.221,37586664,0.239
Healthcare Support Occupations,59108,0.027,11297,0.033,100174,0.031,41812,0.032,678671,0.036,80363,0.027,65769,0.036,14763,0.032,5263,0.014,290718,0.03,118973,0.024,19125,0.028,28638,0.034,200900,0.032,95728,0.029,49644,0.031,44726,0.031,57868,0.029,70141,0.035,26918,0.04,86100,0.028,125966,0.034,166561,0.036,112595,0.038,37538,0.03,95683,0.033,17386,0.033,31513,0.031,34065,0.024,21474,0.029,129441,0.028,39535,0.044,451363,0.047,142064,0.029,14860,0.037,190005,0.034,53351,0.03,83003,0.041,239074,0.038,20604,0.037,63949,0.028,13656,0.031,88669,0.028,400634,0.029,39916,0.025,9868,0.029,111325,0.026,129798,0.035,31537,0.043,113471,0.038,8601,0.03,5164204,0.033
Protective Service Occupations,48291,0.022,9568,0.028,79602,0.025,25703,0.02,388197,0.021,60863,0.021,34316,0.019,12285,0.027,9118,0.024,235724,0.024,108981,0.022,22068,0.032,14309,0.017,139808,0.022,56278,0.017,22083,0.014,26568,0.018,39777,0.02,53956,0.027,11664,0.017,88877,0.029,74931,0.02,78112,0.017,38623,0.013,30120,0.024,56211,0.019,10632,0.02,16558,0.016,44300,0.031,12142,0.016,111087,0.024,23971,0.027,281492,0.029,91924,0.019,6306,0.016,107767,0.019,35507,0.02,32446,0.016,127086,0.02,13239,0.024,48136,0.021,7876,0.018,66242,0.021,298775,0.022,25578,0.016,4342,0.013,114148,0.027,67243,0.018,17586,0.024,48060,0.016,5190,0.018,3383666,0.022
Food Preparation and Serving Related Occupations,112534,0.052,17336,0.051,183292,0.057,71291,0.054,1011808,0.054,159385,0.054,86199,0.047,22722,0.049,16210,0.043,612680,0.062,261220,0.052,53514,0.079,48198,0.057,324587,0.052,178263,0.055,85058,0.053,76008,0.052,105288,0.052,120954,0.06,35606,0.052,138289,0.044,175231,0.048,269404,0.057,145260,0.049,69443,0.056,158709,0.054,34646,0.066,51507,0.051,127740,0.089,39467,0.053,187699,0.041,51642,0.058,472775,0.049,264564,0.055,21707,0.054,320022,0.057,101444,0.057,121738,0.06,325074,0.052,32701,0.059,136610,0.059,25239,0.056,179765,0.056,735003,0.054,73229,0.046,18262,0.055,205904,0.049,193259,0.052,43049,0.059,154345,0.051,16504,0.058,8472384,0.054
Building and Grounds Cleaning and Maintenance  Occupations,78164,0.036,12337,0.036,130921,0.041,49027,0.037,715376,0.038,90737,0.031,66499,0.037,17724,0.038,9255,0.025,447124,0.046,176805,0.036,36390,0.054,30489,0.036,205592,0.033,107577,0.033,51598,0.032,49959,0.034,66801,0.033,76704,0.038,24487,0.036,102502,0.033,117990,0.032,163898,0.035,92098,0.031,46680,0.038,95932,0.033,20885,0.04,31613,0.031,76386,0.053,23024,0.031,145438,0.032,35238,0.04,360726,0.037,174819,0.036,14856,0.037,188482,0.033,65555,0.037,65725,0.032,202446,0.032,19964,0.036,92653,0.04,16583,0.037,114423,0.036,497544,0.037,52722,0.033,13069,0.039,137792,0.033,112032,0.03,28545,0.039,94390,0.031,11035,0.039,5658611,0.036
