Statistics,TotalPopulationBySex,MalePop,M_Under5Years,M_5to9Years,M_10to14Years,M_15to17Years,M_18to24Years,M_25to34Years,M_35to44Years,M_45to54Years,M_55to64Years,M_65to74Years,M_75to84Years,M_85YearsandOver,FemalePop,F_Under5Years,F_5to9Years,F_10to14Years,F_15to17Years,F_18to24Years,F_25to34Years,F_35to44Years,F_45to54Years,F_55to64Years,F_65to74Years,F_75to84Years,F_85YearsandOver,TotalEA_Pop25YearsandOver,TotalEA_LessthanHighSchool,TotalEA_HighSchoolGrad ,TotalEA_SomeCollege,TotalEA_BachelorsDegree,TotalEA_MastersDegree,TotalEA_ProfessionalSchoolDegree,TotalEA_DoctorateDegree,MaleEA_Pop25YearsandOver,MaleEA_LessthanHighSchool,MaleEA_HighSchoolGrad,MaleEA_SomeCollege,MaleEA_BachelorsDegree,MaleEA_MastersDegree,MaleEA_ProfessionalSchoolDegree,MaleEA_DoctorateDegree,FemEA_Pop25YearsandOver,FemEA_LessthanHighSchool,FemEA_HighSchoolGrad,FemEA_SomeCollege,FemEA_BachelorsDegree,FemEA_MastersDegree,FemEA_ProfessionalSchoolDegree,FemEA_DoctorateDegree,MaleSDR_CivilianPop16to19Years,MaleSDR_NotHighSchoolGradNotEnrolled,MaleSDR_HighSchoolGradEnrolled ,FemaleSDR_CivilianPop16to19Years,FemSDR_NotHighSchoolGradNotEnrolled,FemSDR_HighSchoolGradEnrolled ,MaleES_Pop16YearsandOver,MaleES_InLaborForce,MaleES_InArmedForces,MaleES_Civilian,MaleES_Employed,MaleES_Unemployed,MaleES_NotinLaborForce,FemES Pop16YearsandOver,FemES_InLaborForce,FemES_InArmedForces,FemES_Civilian,FemES_Employed,FemES_Unemployed,FemES_NotinLaborForce,MaleEmpSec_EmployedCivilianPop16YearsandOver,MaleEmpSec_PrivateSector,MaleEmpSec_PublicSector,MaleEmpSec_SelfEmployed,MaleEmpSec_PrivateNonProfit,MaleEmpSec_UnpaidFamilyWorkers,FemEmpSec_EmployedCivilianPop16YearsandOver,FemEmpSec_PrivateSector,FemEmpSec_PublicSector,FemEmpSec_SelfEmployed,FemEmpSec_PrivateNonProfit,FemEmpSec_UnpaidFamilyWorkers,MaleUR_CivilianMaleinLaborForce16YearsandOver,MaleUR_Employed,MaleUR_Unemployed,FemUR_CivilianFemaleinLaborForce16YearsandOver,FemUR_Employed,FemUR_Unemployed,PS_Total,IncomeinthePast12MonthsBelowPovertyLevel,Male_IncPast12BPL,Female_IncPast12BPL,IncomeinthePast12MonthsAtorAbovePovertyLevel,Male_IncPast12AAPL,Female_IncPast12AAPL,TotalMedianEarnings,TME_LessthanHighSchoolGrad,TME_HighSchoolGrad,TME_SomeCollegeorAssociatesDegree,TME_BachelorsDegree,TME_GraduateorProfessionalDegree,MaleMedianEarnings,MaleME_LessthanHighSchoolGrad,MaleME_HighSchoolGrad,MaleME_SomeCollegeorAssociatesDegree,MaleME_BachelorsDegree,MaleME_GraduateorProfessionalDegree,FemaleMedianEarnings,FemME_LessthanHighSchoolGrad,FemME_HighSchoolGrad,FemME_SomeCollegeorAssociatesDegree,FemME_BachelorsDegree,FemME_GraduateorProfessionalDegree
Alabama,4997675,2429703,151356,155081,167636,99974,230978,319149,299339,309965,324086,238075,106537,27527,2567972,144276,146733,162158,95167,230513,328098,315771,323966,349002,273827,142272,56189,3413803,430047,1041209,1032122,563628,251040,54076,41681,1624678,226461,519061,461869,260597,101009,31006,24675,1789125,203586,522148,570253,303031,150031,23070,17006,133419,6581,126838,131377,4616,126761,1921714,1213346,13658,1199688,1135882,63806,708368,2083785,1100270,1945,1098325,1037715,60610,983515,1135882,812182,149692,124615,47676,1717,1037715,677980,191903,69033,97476,1323,1199688,1135882,63806,1098325,1037715,60610,4876863,769819,329724,440095,4107044,2031088,2075956,"$39,624","$25,163","$31,825","$36,556","$53,063","$65,092","$48,006","$30,253","$39,088","$46,840","$68,665","$88,888","$32,184","$18,442","$24,748","$30,202","$43,022","$56,220"
AL_pct,,48.6%,3.0%,3.1%,3.4%,2.0%,4.6%,6.4%,6.0%,6.2%,6.5%,4.8%,2.1%,0.6%,51.4%,2.9%,2.9%,3.2%,1.9%,4.6%,6.6%,6.3%,6.5%,7.0%,5.5%,2.9%,1.1%,,12.6%,30.5%,30.2%,16.5%,7.4%,1.6%,1.2%,,13.9%,32.0%,28.4%,16.0%,6.2%,1.9%,1.5%,,11.4%,29.2%,31.9%,16.9%,8.4%,1.3%,1.0%,,4.9%,95.1%,,3.5%,96.5%,,63.1%,0.7%,62.4%,59.1%,3.3%,36.9%,,52.8%,0.1%,52.7%,49.8%,2.9%,47.2%,,71.5%,13.2%,11.0%,4.2%,0.2%,,65.3%,18.5%,6.7%,9.4%,0.1%,,94.7%,5.3%,,94.5%,5.5%,,15.8%,6.8%,9.0%,84.2%,41.7%,42.6%,,,,,,,,,,,,,,,,,,
Alaska,735951,384749,25965,27379,25485,14977,38979,61562,50350,46441,48584,31844,10382,2801,351202,24826,25891,24162,14049,29856,54963,46314,41278,44702,29621,11713,3827,484382,32669,137873,165649,92691,39503,9969,6028,251964,18112,79487,86851,41871,17100,4989,3554,232418,14557,58386,78798,50820,22403,4980,2474,19839,981,18858,17164,549,16615,300904,212319,17513,194806,180009,14797,88585,271261,171476,2564,168912,158655,10257,99785,180009,104114,43216,19595,12640,444,158655,78668,44306,14211,21110,360,194806,180009,14797,168912,158655,10257,719086,75016,36324,38692,644070,336075,307995,"$50,584","$26,928","$38,556","$48,082","$61,748","$81,581","$57,741","$29,659","$44,214","$57,832","$74,516","$93,166","$41,868","$22,241","$30,457","$38,789","$51,955","$75,380"
AK_pct,,52.3%,3.5%,3.7%,3.5%,2.0%,5.3%,8.4%,6.8%,6.3%,6.6%,4.3%,1.4%,0.4%,47.7%,3.4%,3.5%,3.3%,1.9%,4.1%,7.5%,6.3%,5.6%,6.1%,4.0%,1.6%,0.5%,,6.7%,28.5%,34.2%,19.1%,8.2%,2.1%,1.2%,,7.2%,31.6%,34.5%,16.6%,6.8%,2.0%,1.4%,,6.3%,25.1%,33.9%,21.9%,9.6%,2.1%,1.1%,,4.9%,95.1%,,3.2%,96.8%,,70.6%,5.8%,64.7%,59.8%,4.9%,29.4%,,63.2%,1.0%,62.3%,58.5%,3.8%,36.8%,,57.8%,24.0%,10.9%,7.0%,0.3%,,49.6%,27.9%,9.0%,13.3%,0.2%,,92.4%,7.6%,,93.9%,6.1%,,10.4%,5.1%,5.4%,89.6%,46.7%,42.8%,,,,,,,,,,,,,,,,,,
Arizona,7079203,3533895,210607,224911,244849,144036,347338,499568,450250,419876,415522,344077,179121,53740,3545308,201999,215310,235194,137529,325423,467102,432664,419087,444079,387296,200147,79478,4792007,560460,1125498,1610633,923339,413353,92301,66423,2362154,292497,568896,767868,451206,189461,55024,37202,2429853,267963,556602,842765,472133,223892,37277,29221,194349,13113,181236,186412,8314,178098,2804618,1839639,18958,1820681,1720517,100164,964979,2846006,1584554,3329,1581225,1490274,90951,1261452,1720517,1238702,205335,193809,79205,3466,1490274,977935,240654,125541,143260,2884,1820681,1720517,100164,1581225,1490274,90951,6926281,934911,430677,504234,5991370,3000723,2990647,"$42,355","$27,094","$33,220","$40,123","$56,276","$72,937","$48,036","$30,648","$38,079","$46,645","$69,953","$89,640","$37,103","$22,007","$28,125","$34,350","$47,780","$61,338"
AZ_pct,,49.9%,3.0%,3.2%,3.5%,2.0%,4.9%,7.1%,6.4%,5.9%,5.9%,4.9%,2.5%,0.8%,50.1%,2.9%,3.0%,3.3%,1.9%,4.6%,6.6%,6.1%,5.9%,6.3%,5.5%,2.8%,1.1%,,11.7%,23.5%,33.6%,19.3%,8.6%,1.9%,1.4%,,12.4%,24.1%,32.5%,19.1%,8.0%,2.3%,1.6%,,11.0%,22.9%,34.7%,19.4%,9.2%,1.5%,1.2%,,6.8%,93.3%,,4.5%,95.5%,,65.6%,0.7%,64.9%,61.4%,3.6%,34.4%,,55.7%,0.1%,55.6%,52.4%,3.2%,44.3%,,72.0%,11.9%,11.3%,4.6%,0.2%,,65.6%,16.2%,8.4%,9.6%,0.2%,,94.5%,5.5%,,94.3%,5.8%,,13.5%,6.2%,7.3%,86.5%,43.3%,43.2%,,,,,,,,,,,,,,,,,,
Arkansas,3006309,1483520,95410,99723,105077,62435,142808,194336,187731,181193,188082,141091,66298,19336,1522789,89170,95925,98171,59874,136426,194163,188700,183520,198204,159216,83939,35481,2021290,248721,688732,592568,313527,129009,29370,19363,978067,130991,358982,263407,144566,51818,17533,10770,1043223,117730,329750,329161,168961,77191,11837,8593,83600,4042,79558,79352,2995,76357,1162716,728160,4831,723329,683007,40322,434556,1219539,662213,946,661267,627856,33411,557326,683007,482441,81200,83689,34150,1527,627856,398016,117142,46994,64503,1201,723329,683007,40322,661267,627856,33411,2923735,468113,206700,261413,2455622,1227965,1227657,"$37,772","$26,405","$31,426","$35,054","$50,737","$65,593","$43,273","$30,526","$36,728","$43,019","$63,813","$80,046","$32,118","$21,451","$25,465","$30,071","$43,208","$57,324"
AR_pct,,49.4%,3.2%,3.3%,3.5%,2.1%,4.8%,6.5%,6.2%,6.0%,6.3%,4.7%,2.2%,0.6%,50.7%,3.0%,3.2%,3.3%,2.0%,4.5%,6.5%,6.3%,6.1%,6.6%,5.3%,2.8%,1.2%,,12.3%,34.1%,29.3%,15.5%,6.4%,1.5%,1.0%,,13.4%,36.7%,26.9%,14.8%,5.3%,1.8%,1.1%,,11.3%,31.6%,31.6%,16.2%,7.4%,1.1%,0.8%,,4.8%,95.2%,,3.8%,96.2%,,62.6%,0.4%,62.2%,58.7%,3.5%,37.4%,,54.3%,0.1%,54.2%,51.5%,2.7%,45.7%,,70.6%,11.9%,12.3%,5.0%,0.2%,,63.4%,18.7%,7.5%,10.3%,0.2%,,94.4%,5.6%,,95.0%,5.1%,,16.0%,7.1%,8.9%,84.0%,42.0%,42.0%,,,,,,,,,,,,,,,,,,
California,39455353,19714044,1203859,1245934,1362100,792617,1879868,3056135,2720662,2537185,2366158,1581047,696336,272143,19741309,1146476,1188179,1296261,757006,1785983,2885487,2620387,2506218,2434959,1782400,885135,452818,26797070,4236035,5477154,7632443,5855383,2449563,678258,468234,13229666,2137364,2825211,3670091,2816104,1148481,357140,275275,13567404,2098671,2651943,3962352,3039279,1301082,321118,192959,1062842,32659,1030183,1012943,20664,992279,15642410,10922019,127554,10794465,10104245,690220,4720391,15857294,9207143,21146,9185997,8572476,613521,6650151,10104245,7157998,1139944,1307668,479777,18858,8572476,5407243,1499073,828986,818886,18288,10794465,10104245,690220,9185997,8572476,613521,38701352,4741175,2146549,2594626,33960177,17086955,16873222,"$47,118","$26,928","$34,965","$42,817","$68,515","$97,115","$53,609","$31,441","$40,646","$51,289","$81,227","$114,783","$40,591","$20,585","$28,843","$36,134","$58,189","$82,881"
CA_pct,,50.0%,3.1%,3.2%,3.5%,2.0%,4.8%,7.8%,6.9%,6.4%,6.0%,4.0%,1.8%,0.7%,50.0%,2.9%,3.0%,3.3%,1.9%,4.5%,7.3%,6.6%,6.4%,6.2%,4.5%,2.2%,1.2%,,15.8%,20.4%,28.5%,21.9%,9.1%,2.5%,1.8%,,16.2%,21.4%,27.7%,21.3%,8.7%,2.7%,2.1%,,15.5%,19.6%,29.2%,22.4%,9.6%,2.4%,1.4%,,3.1%,96.9%,,2.0%,98.0%,,69.8%,0.8%,69.0%,64.6%,4.4%,30.2%,,58.1%,0.1%,57.9%,54.1%,3.9%,41.9%,,70.8%,11.3%,12.9%,4.8%,0.2%,,63.1%,17.5%,9.7%,9.6%,0.2%,,93.6%,6.4%,,93.3%,6.7%,,12.3%,5.6%,6.7%,87.8%,44.2%,43.6%,,,,,,,,,,,,,,,,,,
