Statistics,TotalEmpStat_Pop16YearsandOver,TotalEmpStat_InLaborForce,TotalEmpStat_InArmedForces,TotalEmpStat_Civilian,TotalEmpStat_Employed,TotalEmpStat_Unemployed,TotalEmpStat_NotinLaborForce,MaleEmpStat_Pop16YearsandOver,MaleEmpStat_InLaborForce,MaleEmpStat_InArmedForces,MaleEmpStat_Civilian,MaleEmpStat_Employed,MaleEmpStat_Unemployed,MaleEmpStat_NotinLaborForce,FemEmpStat_Pop16YearsandOver,FemEmpStat_InLaborForce,FemEmpStat_InArmedForces,FemEmpStat_Civilian,FemEmpStat_Employed,FemEmpStat_Unemployed,FemEmpStat_NotinLaborForce,TotalEmpSec_EmployedCivilianPop16YearsandOver,TotalEmpSec_PrivateSector,TotalEmpSec_PublicSector,TotalEmpSec_SelfEmployed,TotalEmpSec_PrivateNonProfit,TotalEmpSec_UnpaidFamilyWorkers,MaleEmpSec_EmployedCivilianPop16YearsandOver,MaleEmpSec_PrivateSector,MaleEmpSec_PublicSector,MaleEmpSec_SelfEmployed,MaleEmpSec_PrivateNonProfit,MaleEmpSec_UnpaidFamilyWorkers,FemEmpSec_EmployedCivilianPop16YearsandOver,FemEmpSec_PrivateSector,FemEmpSec_PublicSector,FemEmpSec_SelfEmployed,FemEmpSec_PrivateNonProfit,FemEmpSec_UnpaidFamilyWorkers,Total_EmpCivPop16andup,Total_ManagementBusinessandFinancialOperations,Total_ProfessionalandRelated,Total_HealthcareSupport ,Total_ProtectiveService,Total_FoodPrepandServing,Total_BuildingandGroundsCleaningandMaintenance  ,Total_PersonalCareandService,Total_SalesandRelated,Total_OfficeandAdminSupport,Total_FarmingFishingandForestry,Total_ConstructionExtractionandMaintenance,Total_Production,Total_TranspoandMaterialMoving,MaleEmpCivPop16andup,Male_ManagementBusinessandFinancialOperations,Male_ProfessionalandRelated,Male_HealthcareSupport ,Male_ProtectiveService,Male_FoodPrepandServing,Male_BuildingandGroundsCleaningandMaintenance  ,Male_PersonalCareandService,Male_SalesandRelated,Male_OfficeandAdminSupport,Male_FarmingFishingandForestry,Male_ConstructionExtractionandMaintenance,Male_Production,Male_TranspoandMaterialMoving,FemEmpCivPop16andup,Fem_ManagementBusinessandFinancialOperations,Fem_ProfessionalandRelated,Fem_HealthcareSupport ,Fem_ProtectiveService,Fem_FoodPrepandServing,Fem_BuildingandGroundsCleaningandMaintenance  ,Fem_PersonalCareandService,Fem_SalesandRelated,Fem_OfficeandAdminSupport,Fem_FarmingFishingandForestry,Fem_ConstructionExtractionandMaintenance,Fem_Production,Fem_TranspoandMaterialMoving,M_F_ManagementBusinessandFinancialOperations,M_F_ProfessionalandRelated,M_F_HealthcareSupport ,M_F_ProtectiveService,M_F_FoodPrepandServing,M_F_BuildingandGroundsCleaningandMaintenance  ,M_F_PersonalCareandService,M_F_SalesandRelated,M_F_OfficeandAdminSupport,M_F_FarmingFishingandForestry,M_F_ConstructionExtractionandMaintenance,M_F_Production,M_F_TranspoandMaterialMoving
Alabama,,0.578,0.004,0.574,0.543,0.031,0.422,,0.631,0.007,0.624,0.591,0.033,0.369,,0.528,0.001,0.527,0.498,0.029,0.472,,0.686,0.157,0.089,0.067,0.001,,0.715,0.132,0.11,0.042,0.002,,0.653,0.185,0.067,0.094,0.001,,0.138,0.223,0.027,0.022,0.052,0.036,0.023,0.103,0.108,0.004,0.091,0.086,0.086,,0.143,0.168,0.006,0.033,0.041,0.042,0.01,0.091,0.041,0.007,0.168,0.119,0.131,,0.132,0.284,0.051,0.01,0.064,0.029,0.038,0.115,0.181,0.002,0.007,0.051,0.036,M,F,F,M,F,M,F,F,F,M,M,M,M
Alaska,,0.671,0.035,0.636,0.592,0.044,0.329,,0.706,0.058,0.647,0.598,0.049,0.294,,0.632,0.01,0.623,0.585,0.038,0.368,,0.54,0.258,0.1,0.1,0.002,,0.578,0.24,0.109,0.07,0.003,,0.496,0.279,0.09,0.133,0.002,,0.148,0.237,0.033,0.028,0.051,0.036,0.03,0.078,0.123,0.011,0.103,0.039,0.082,,0.142,0.187,0.011,0.042,0.045,0.043,0.017,0.07,0.061,0.016,0.186,0.055,0.126,,0.155,0.293,0.059,0.013,0.058,0.029,0.045,0.086,0.194,0.005,0.009,0.021,0.032,F,F,F,M,F,M,F,F,F,M,M,M,M
Arizona,,0.606,0.004,0.602,0.568,0.034,0.394,,0.656,0.007,0.649,0.614,0.036,0.344,,0.557,0.001,0.556,0.524,0.032,0.443,,0.69,0.139,0.1,0.069,0.002,,0.72,0.119,0.113,0.046,0.002,,0.656,0.162,0.084,0.096,0.002,,0.162,0.224,0.031,0.025,0.057,0.041,0.026,0.106,0.128,0.005,0.085,0.038,0.071,,0.162,0.191,0.011,0.036,0.051,0.048,0.012,0.105,0.069,0.008,0.152,0.054,0.102,,0.163,0.263,0.054,0.012,0.064,0.033,0.042,0.108,0.197,0.003,0.007,0.021,0.034,F,F,F,M,F,M,F,F,F,M,M,M,M
Arkansas,,0.584,0.002,0.581,0.55,0.031,0.416,,0.626,0.004,0.622,0.587,0.035,0.374,,0.543,0.001,0.542,0.515,0.027,0.457,,0.672,0.151,0.1,0.075,0.002,,0.706,0.119,0.123,0.05,0.002,,0.634,0.187,0.075,0.103,0.002,,0.137,0.215,0.032,0.02,0.054,0.037,0.022,0.1,0.109,0.01,0.092,0.085,0.087,,0.142,0.15,0.008,0.029,0.043,0.043,0.01,0.093,0.046,0.016,0.17,0.114,0.136,,0.13,0.286,0.058,0.01,0.067,0.031,0.035,0.106,0.178,0.003,0.007,0.054,0.034,M,F,F,M,F,M,F,F,F,M,M,M,M
California,,0.639,0.005,0.634,0.593,0.041,0.361,,0.698,0.008,0.69,0.646,0.044,0.302,,0.581,0.001,0.579,0.541,0.039,0.419,,0.673,0.141,0.114,0.07,0.002,,0.708,0.113,0.129,0.048,0.002,,0.631,0.175,0.097,0.096,0.002,,0.168,0.243,0.036,0.021,0.054,0.038,0.028,0.097,0.107,0.014,0.074,0.046,0.073,,0.168,0.216,0.013,0.03,0.05,0.042,0.013,0.091,0.058,0.018,0.134,0.059,0.106,,0.167,0.276,0.063,0.01,0.059,0.034,0.045,0.103,0.165,0.009,0.005,0.031,0.034,M,F,F,M,F,M,F,F,F,M,M,M,M
Colorado,,0.686,0.008,0.678,0.646,0.032,0.315,,0.737,0.014,0.723,0.689,0.034,0.263,,0.633,0.002,0.631,0.602,0.029,0.367,,0.665,0.138,0.115,0.079,0.002,,0.701,0.117,0.129,0.05,0.002,,0.623,0.163,0.099,0.113,0.003,,0.194,0.254,0.027,0.021,0.054,0.031,0.027,0.1,0.105,0.005,0.084,0.037,0.064,,0.2,0.22,0.008,0.028,0.048,0.032,0.012,0.1,0.053,0.007,0.15,0.048,0.095,,0.186,0.294,0.049,0.011,0.061,0.029,0.044,0.1,0.165,0.003,0.007,0.023,0.028,M,F,F,M,F,M,F,F,F,M,M,M,M
Connecticut,,0.66,0.003,0.657,0.617,0.04,0.34,,0.706,0.006,0.699,0.654,0.045,0.295,,0.617,0,0.617,0.582,0.035,0.383,,0.671,0.129,0.098,0.1,0.002,,0.704,0.107,0.122,0.065,0.002,,0.636,0.152,0.073,0.138,0.002,,0.187,0.264,0.036,0.019,0.047,0.037,0.032,0.099,0.104,0.002,0.071,0.047,0.057,,0.2,0.216,0.01,0.03,0.043,0.046,0.016,0.099,0.052,0.002,0.134,0.065,0.088,,0.173,0.314,0.063,0.007,0.052,0.027,0.048,0.099,0.159,0.001,0.004,0.028,0.024,M,F,F,M,F,M,F,F,F,M,M,M,M
Delaware,,0.622,0.006,0.617,0.581,0.035,0.378,,0.662,0.01,0.653,0.615,0.038,0.338,,0.585,0.002,0.583,0.551,0.032,0.415,,0.666,0.155,0.087,0.09,0.002,,0.695,0.137,0.109,0.057,0.002,,0.636,0.173,0.064,0.124,0.002,,0.166,0.247,0.032,0.027,0.049,0.038,0.027,0.095,0.117,0.005,0.083,0.042,0.075,,0.165,0.194,0.01,0.038,0.041,0.051,0.015,0.092,0.055,0.007,0.158,0.059,0.115,,0.166,0.303,0.055,0.014,0.057,0.025,0.039,0.097,0.181,0.003,0.004,0.024,0.034,F,F,F,M,F,M,F,F,F,M,M,M,M
District of Columbia,,0.714,0.006,0.708,0.658,0.05,0.286,,0.736,0.01,0.725,0.674,0.051,0.265,,0.694,0.002,0.693,0.644,0.049,0.306,,0.472,0.252,0.078,0.195,0.002,,0.515,0.239,0.092,0.153,0.001,,0.432,0.265,0.066,0.235,0.002,,0.291,0.385,0.014,0.024,0.043,0.025,0.023,0.055,0.081,0,0.023,0.006,0.029,,0.284,0.376,0.008,0.026,0.047,0.026,0.012,0.06,0.059,0,0.046,0.009,0.048,,0.298,0.393,0.02,0.023,0.04,0.023,0.034,0.05,0.102,0.001,0.002,0.003,0.012,F,F,F,M,M,M,F,M,F,F,M,M,M
Florida,,0.594,0.004,0.59,0.559,0.031,0.406,,0.642,0.007,0.635,0.601,0.034,0.359,,0.55,0.001,0.548,0.519,0.029,0.45,,0.693,0.117,0.122,0.066,0.002,,0.707,0.1,0.146,0.044,0.002,,0.678,0.136,0.096,0.089,0.002,,0.161,0.212,0.03,0.024,0.062,0.046,0.029,0.117,0.121,0.005,0.088,0.033,0.073,,0.17,0.169,0.008,0.034,0.057,0.049,0.017,0.112,0.062,0.007,0.161,0.043,0.112,,0.152,0.259,0.054,0.013,0.068,0.042,0.042,0.123,0.187,0.003,0.008,0.021,0.03,M,F,F,M,F,M,F,F,F,M,M,M,M
