Statistics,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
TotalPopulationBySex,4997675,735951,7079203,3006309,39455353,5723176,3605330,981892,683154,21339762,10625615,1453498,1811617,12821813,6751340,3179090,2932099,4494141,4657305,1357046,6148545,6991852,10062512,5670472,2967023,6141534,1077978,1951480,3059238,1372175,9234024,2109366,20114745,10367022,773344,11769923,3948136,4207177,12970650,1091949,5078903,881785,6859497,28862581,3231370,641637,8582479,7617364,1801049,5871661,576641
MalePop,2429703,384749,3533895,1483520,19714044,2895936,1768860,477219,325490,10489548,5191616,732172,912529,6332176,3344360,1590001,1468152,2223783,2283561,668308,2995146,3413174,4983325,2839135,1444255,3027741,545671,978863,1541789,683846,4539311,1048448,9821711,5067666,397093,5800004,1964927,2096429,6394217,534283,2474059,446461,3362099,14398171,1633843,318533,4245281,3831964,896723,2937621,295204
M_Under5Years,151356,25965,210607,95410,1203859,165967,93734,27567,21890,571443,329092,45527,58614,381213,213036,99307,95187,139220,151391,32899,185279,183397,288862,178137,93586,188129,31226,66837,92638,32295,271646,61578,590167,304889,27612,351995,129519,114886,358907,28236,146308,30241,207621,1000733,125819,15119,256734,230732,48062,168590,17712
M_5to9Years,155081,27379,224911,99723,1245934,176827,99242,28646,17335,583755,350442,44814,65157,397940,222731,105743,104105,144884,153155,35609,191750,189716,306114,190312,93551,196550,33436,69746,98171,36298,287097,68043,577739,319048,26774,366508,136180,124130,372560,28728,155195,31312,213730,1043347,136703,17222,266854,242605,51311,180072,19577
M_10to14Years,167636,25485,244849,105077,1362100,191554,115470,30950,16300,644169,385435,45331,69888,433292,237190,108860,104313,149328,162798,38348,204033,208481,324974,193180,110455,205388,34933,71254,104066,39656,299463,74617,620488,346840,26311,390216,142822,131624,407426,32137,167163,31887,227633,1111175,140717,18161,280270,245314,56100,195924,20150
M_15to17Years,99974,14977,144036,62435,792617,112904,72468,18348,7748,379009,228016,24728,41468,262755,142459,65647,62942,91259,94784,24154,120450,129924,202816,115182,63283,123453,20506,42180,60095,25252,185406,43125,370896,205862,13946,237370,82948,77796,247022,19833,97971,18202,135614,647804,82895,11305,166637,142233,33282,117764,11865
M_18to24Years,230978,38979,347338,142808,1879868,273168,176763,42180,31755,881672,518757,66691,86930,594874,336559,163285,154246,215116,215072,54992,270938,345976,484335,253407,145668,286303,52356,96823,127781,63936,399356,102046,910475,504452,44800,539866,196910,184620,584520,55615,238194,42713,311993,1436876,185192,35186,415948,341829,81598,280384,27621
M_25to34Years,319149,61562,499568,194336,3056135,464018,226394,63809,72944,1390105,721328,105291,119690,882628,441929,201396,193833,294612,321954,81330,412275,495954,658800,385927,187783,406863,70343,130233,225322,88591,597528,144760,1449506,680742,61657,776454,271531,300714,864033,77010,324208,59518,464442,2120302,239874,38087,593484,596836,107520,375284,39712
M_35to44Years,299339,50350,450250,187731,2720662,417273,217332,57016,52731,1315368,686105,96263,118420,843768,423372,201886,186672,281148,298693,78454,395351,432400,597211,377602,181643,383011,68258,127143,210823,81058,598712,131926,1264814,642983,50465,715930,254745,292494,784542,65678,305203,55526,427727,2011317,229722,36770,568853,534910,110481,370951,38660
M_45to54Years,309965,46441,419876,181193,2537185,364491,238821,58629,37237,1355700,690137,88254,105995,819285,420733,188639,170798,286360,272146,88903,398574,450590,638651,349494,176219,369588,62006,113342,202732,93522,624281,119662,1275357,668994,41873,737774,231695,262643,824294,69183,310404,49291,438241,1790202,172254,40240,555240,476959,117303,371519,33686
